Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 1,at LSU,"L, 4-3",4,0,0,-,-,-,0,-,2,-,-
Mar 2,vs. Nicholls St.,"W, 5-4",5,1,1,-,-,-,0,-,2,-,-
Mar 2,at LSU,"L, 7-1",-,-,-,-,-,-,-,-,-,-,-
Mar 3,vs. Nicholls St.,"L, 4-1",3,0,1,-,-,-,0,-,-,-,-
Mar 8,at Auburn,"L, 9-4",4,0,2,-,-,-,1,-,1,-,-
Mar 9,at Auburn,"L, 6-0",3,0,1,-,-,-,0,-,1,-,-
Mar 10,at Auburn,"L, 6-3",1,0,0,-,-,-,0,-,1,-,-
Mar 22,at Washington St.,"L, 8-2",3,0,1,-,-,-,0,1,1,-,-
Mar 23,at Washington St.,"L, 14-0",2,0,0,-,-,-,0,-,1,-,-
Mar 24,at Washington St.,"L, 20-1",3,1,1,1,-,-,0,-,-,-,-
Mar 25,at Washington St.,"L, 3-1",2,0,0,-,-,-,0,1,1,-,-
Mar 26,at Gonzaga,"W, 6-3",3,0,0,-,-,-,0,1,1,-,-
Mar 26,at Gonzaga,"L, 6-5",5,0,1,-,-,-,0,-,2,1,-
Mar 30,at Cornell,"L, 6-1",3,0,1,-,-,-,0,-,1,-,-
Mar 30,at Cornell,"L, 4-1",3,0,1,-,-,-,0,-,-,-,-
Mar 31,at Princeton,"L, 3-1",3,0,1,-,-,-,0,-,1,-,-
Mar 31,at Princeton,"L, 3-1",3,0,0,-,-,-,0,-,-,-,-
Apr 4,Bryant,"L, 11-4",3,0,0,-,-,-,0,1,2,-,-
Apr 6,Penn,"W, 9-0",1,0,0,-,-,-,0,-,1,-,-
Apr 6,Penn,"L, 9-5",-,-,-,-,-,-,-,-,-,-,-
Apr 7,Columbia,"L, 2-0",-,-,-,-,-,-,-,-,-,-,-
Apr 7,Columbia,"L, 13-4",-,-,-,-,-,-,-,-,-,-,-
Apr 10,Connecticut,"L, 11-6",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Dartmouth,"L, 2-0",-,-,-,-,-,-,-,-,-,-,-
Apr 13,at Dartmouth,"L, 11-3",1,0,0,-,-,-,0,-,1,-,-
Apr 14,at Dartmouth,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 14,at Dartmouth,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 17,at Holy Cross,"L, 7-0",-,-,-,-,-,-,-,-,-,-,-
Apr 17,at Holy Cross,"L, 1-0",-,-,-,-,-,-,-,-,-,-,-
Apr 20,Harvard,"L, 12-10",-,-,-,-,-,-,-,-,-,-,-
Apr 20,Harvard,"W, 14-2",-,-,-,-,-,-,-,-,-,-,-
Apr 21,Harvard,"L, 4-2",-,-,-,-,-,-,-,-,-,-,-
Apr 21,Harvard,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Apr 26,at Yale,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 26,at Yale,"L, 9-3",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Yale,"L, 3-1",-,-,-,-,-,-,-,-,-,-,-
Apr 27,Yale,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
May 1,Marist,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
May 1,Marist,"W, 10-7",-,-,-,-,-,-,-,-,-,-,-
May 2,Rhode Island,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
