MP,Age,ORtg,Opp
13:00,31-207,133,DAL
10:00,31-223,0,NJN
9:00,31-322,141,WSB
20:00,31-210,154,LAC
9:00,31-301,153,ATL
11:00,31-304,153,MIA
16:00,31-205,57,HOU
5:00,31-309,85,MIA
12:00,31-298,135,MIL
17:00,31-280,125,LAL
2:00,31-297, ,DET
25:00,31-228,158,MIL
6:00,31-350, ,IND
5:00,31-306,84,ORL
10:00,31-265,99,WSB
10:00,31-267,110,MIL
8:00,31-359,58,DET
10:00,31-295,137,WSB
18:00,31-237,7,CLE
7:00,31-338,137,BOS
29:00,31-243,93,NYK
12:00,31-256,0,CLE
7:00,31-300,89,CHH
18:00,31-248,66,MIA
20:00,31-213,85,UTA
18:00,31-262,101,SAC
23:00,31-241,137,IND
14:00,31-221,86,BOS
