View,Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,state,County,Hydrologic_Unit,SHEF
Current Historic,Agua Canyon,12M26S,SNTL,8900,37.52,-112.27,1994,UT,Kane,East Fork Sevier River Headwaters 160300020301,AGUU1
Current Historic,Alta Central,11J61,SNOW,8800,40.59,-111.64,1984,UT,Salt Lake,Headwaters Little Cottonwood Canyon 160202040202,ATCU1
Current Historic,Bear River RS,10J17S,SNTL,8777,40.89,-110.83,2011,UT,Summit,Willow Creek-Bear River 160101010103,STLU1
Current Historic,Beaver Dams,11K13S,SNTL,7990,39.14,-111.56,1980,UT,Sanpete,Headwaters Twelvemile Creek 160300040402,BVDU1
Current Historic,Beaver Divide,11J46S,SNTL,8280,40.61,-111.1,1979,UT,Wasatch,Shingle Creek-Provo River 160202030105,NWZU1
Current Historic,Ben Lomond Peak,11H08S,SNTL,8000,41.38,-111.94,1979,UT,Weber,Cutler Creek-North Fork Ogden River 160201020302,BLPU1
Current Historic,Ben Lomond Trail,11H30S,SNTL,5829,41.38,-111.92,1980,UT,Weber,Cutler Creek-North Fork Ogden River 160201020302,BLTU1
Current Historic,Bevan's Cabin,12J02,SNOW,6430,40.46,-112.25,1954,UT,Tooele,Settlement Canyon 160203040401,BENU1
Current Historic,Bevans Cabin,12J02S,SNTL,6430,40.46,-112.25,2012,UT,Tooele,Settlement Canyon 160203040401,BENU1
Current Historic,Big Flat,12L07S,SNTL,10349,38.3,-112.36,1979,UT,Piute,Three Creeks 160300070202,BGFU1
Current Historic,Birch Crossing,12M16,SNOW,8045,37.74,-112.84,1965,UT,Iron,Dry Lakes Creek 160300060201,BIRU1
Current Historic,Black Flat-U.M. Ck,11L04S,SNTL,9462,38.68,-111.6,1980,UT,Sevier,U M Creek 140700030101,BFTU1
Current Historic,Black's Fork Junction,10J22,SNOW,8870,40.96,-110.58,1961,UT,Summit,Meeks Cabin Reservoir-Blacks Forks 140401070103,BLJU1
Current Historic,Blacks Fork Jct,10J22S,SNTL,8870,40.96,-110.58,2011,UT,Summit,Meeks Cabin Reservoir-Blacks Forks 140401070103,BLJU1
Current Historic,Box Creek,12L04S,SNTL,9828,38.51,-112.02,1979,UT,Sevier,Greenwich Creek 160300020106,BXCU1
Current Historic,Brian Head,12M14,SNOW,9972,37.68,-112.86,1965,UT,Iron,Dry Lakes Creek 160300060201,BRHU1
Current Historic,Brian Head,12M14S,SNTL,9972,37.68,-112.86,2011,UT,Iron,Dry Lakes Creek 160300060201,BRHU1
Current Historic,Brighton,11J57S,SNTL,8750,40.6,-111.58,1986,UT,Salt Lake,Headwaters Big Cottonwood Canyon 160202040201,BRIU1
Current Historic,Brighton Cabin,11J58,SNOW,8700,40.6,-111.58,1961,UT,Salt Lake,Headwaters Big Cottonwood Canyon 160202040201,UT215
Current Historic,Brown Duck,10J30S,SNTL,10600,40.58,-110.59,1979,UT,Duchesne,Brown Duck Creek-Lake Fork River 140600030604,BNDU1
Current Historic,Bryce Canyon,12M08,SNOW,8000,37.63,-112.17,1935,UT,Garfield,Bryce Creek 140700070102,BRCU1
Current Historic,Buck Flat,11K31S,SNTL,9430,39.13,-111.44,1979,UT,Sanpete,Ferron Reservoir-Ferron Creek 140600090302,BUFU1
Current Historic,Buck Pasture,10J23S,SNTL,9700,40.84,-110.66,2012,UT,Summit,West Fork Blacks Fork 140401070101,BCZU1
Current Historic,Buckboard Flat,09M01,SNOW,8998,37.87,-109.45,1930,UT,San Juan,North Creek-Montezuma Creek 140802030103,BUCU1
Current Historic,Buckboard Flat,09M01S,SNTL,8998,37.87,-109.45,2012,UT,San Juan,North Creek-Montezuma Creek 140802030103,BUCU1
Current Historic,Bug Lake,11H37S,SNTL,7950,41.68,-111.42,1979,UT,Rich,Laketown Canyon 160102010102,BULU1
Current Historic,Burts Miller Ranch,10J06S,SNTL,8000,40.98,-110.85,2009,UT,Summit,Cottonwood Creek-Mill Creek 160101010106,MRHU1
Current Historic,Burts-Miller Ranch,10J06,SNOW,7998,40.98,-110.85,1937,UT,Summit,Willow Creek-Bear River 160101010103,BRMU1
Current Historic,Camp Jackson,09M02S,SNTL,8968,37.81,-109.49,1986,UT,San Juan,Johnson Creek 140802010301,CJSU1
Current Historic,Cascade Mountain,11J70S,SNTL,7774,40.28,-111.61,2003,UT,Utah,Rock Canyon-Provo RIver 160202030505,CAMU1
Current Historic,Castle Valley,12M13S,SNTL,9580,37.66,-112.74,1980,UT,Iron,Upper Mammoth Creek 160300010201,CVYU1
Current Historic,Cecret Lake,11J67,SNOW,9750,40.57,-111.62,1992,UT,Salt Lake,Headwaters Little Cottonwood Canyon 160202040202, 
Current Historic,Chalk Creek #1,11J01S,SNTL,8993,40.85,-111.05,1979,UT,Summit,East Fork Chalk Creek 160201010301,CHCU1
Current Historic,Chalk Creek #2,11J02S,SNTL,8158,40.89,-111.07,1979,UT,Summit,East Fork Chalk Creek 160201010301,CCKU1
Current Historic,Chalk Creek #3,11J03,SNOW,7364,40.92,-111.09,1952,UT,Summit,Middle Chalk Creek 160201010304,CHTU1
Current Historic,Chepeta,10J43S,SNTL,10592,40.77,-110.01,1980,UT,Duchesne,East Fork Whiterocks River 140600031202,CWHU1
Current Historic,City Creek,11J62,SNOW,7500,40.83,-111.73,1984,UT,Salt Lake,City Creek 160202040304,CCLU1
Current Historic,Clayton Springs,11M06S,SNTL,10049,37.97,-111.83,2000,UT,Garfield,Coyote Hollow-Antimony Creek 160300020501,CSPU1
Current Historic,Clear Creek #1,11K21S,SNTL,8908,39.87,-111.28,1979,UT,Utah,Upper Soldier Creek 160202020102,CLCU1
Current Historic,Clear Creek #2,11K22S,SNTL,7659,39.89,-111.25,1979,UT,Utah,Upper Soldier Creek 160202020102,CRKU1
Current Historic,Corral,10K05,SNOW,8159,39.66,-110.38,1955,UT,Carbon,Grassy Trail Reservoir-Grassy Trail Creek 140600070903,CAOU1
Current Historic,Corral,10k05s,SNTL,8159,39.66,-110.38,2013,UT,Carbon,Grassy Trail Reservoir-Grassy Trail Creek 140600070903,CAOU1
Current Historic,Currant Creek,11J32S,SNTL,8000,40.36,-111.09,1979,UT,Wasatch,Current Creek Reservoir 140600040401,CUCU1
Current Historic,Daniels-Strawberry,11J23S,SNTL,8037,40.3,-111.26,1979,UT,Wasatch,Willow Creek-Strawberry River 140600040101,DSTU1
Current Historic,Dill's Camp,11K15S,SNTL,9182,39.05,-111.47,1979,UT,Sanpete,Beaver Creek 140700020201,DCPU1
Current Historic,Donkey Reservoir,11L05S,SNTL,9800,38.21,-111.48,1986,UT,Sevier,Donkey Creek-Fremont River 140700030305,DRSU1
Current Historic,Dry Bread Pond,11H55S,SNTL,8350,41.41,-111.54,1979,UT,Weber,Headwaters East Fork Little Bear River Canyon 160102030101,DBPU1
Current Historic,Dry Fork,12J09S,SNTL,7093,40.57,-112.17,1995,UT,Salt Lake,Bingham Creek 160202040106,DRFU1
Current Historic,East Fork-Black's Fork G.S.,10J21,SNOW,9308,40.88,-110.54,1961,UT,Summit,East Fork Blacks Fork 140401070102,EFBU1
Current Historic,East Willow Creek,09K01S,SNTL,8301,39.31,-109.53,1986,UT,Grand,Tenmmile Canyon 140600060205,EWCU1
Current Historic,EF Blacks Fork GS,10J21S,SNTL,9360,40.88,-110.54,2011,UT,Summit,East Fork Blacks Fork 140401070102,EFBU1
Current Historic,Farmington,11J11S,SNTL,8000,40.99,-111.82,1979,UT,Davis,Farmington Creek-Frontal Farmington Bay 160201020502,FMNU1
Current Historic,Farmington Canyon-Lower,11J12,SNOW,6950,40.99,-111.82,1951,UT,Davis,Farmington Creek-Frontal Farmington Bay 160201020502,FNMU1
Current Historic,Farmington Lower,11J12S,SNTL,6779,40.97,-111.81,2004,UT,Davis,Farmington Creek-Frontal Farmington Bay 160201020502,FARU1
Current Historic,Farnsworth Lake,11L01S,SNTL,9682,38.77,-111.68,1980,UT,Sevier,Gooseberry Creek 160300030405,FRLU1
Current Historic,Fish Lake,11L03,SNOW,8818,38.51,-111.77,1931,UT,Sevier,Deadman Hollow 140700030108,FLSU1
Current Historic,Fish Lake Utah,11L03S,SNTL,8798,38.5,-111.77,2010,UT,Sevier,Deadman Hollow 140700030108,FLSU1
Current Historic,Five Points Lake,10J26S,SNTL,10940,40.72,-110.47,1980,UT,Duchesne,Garfield Creek 140600030701,FPLU1
