bb,po,rbi,avg,ibb,Date,sb,sf,sh
6,21,14,0.267,0,"Apr 13, 2013",5,2,1
3,21,1,0.29,0,"Mar 02, 2013",0,0,2
1,15,0,0.288,0,"Mar 02, 2013",0,0,0
4,21,8,0.307,0,"Feb 22, 2013",2,1,1
1,21,5,0.323,0,"Feb 15, 2013",0,1,0
4,15,11,0.305,0,"Feb 22, 2013",4,0,1
4,18,9,0.313,0,"Feb 10, 2013",0,1,0
2,12,0,0.287,0,"Mar 08, 2013",0,0,1
6,21,4,0.262,0,"Apr 07, 2013",2,0,0
3,27,2,0.29,0,"Mar 01, 2013",1,0,1
3,18,9,0.262,0,"Apr 13, 2013",4,0,1
0,18,3,0.286,0,"Feb 27, 2013",0,0,0
1,21,4,0.318,0,"Feb 08, 2013",1,1,2
5,21,8,0.268,0,"Apr 14, 2013",2,0,1
4,21,4,0.291,1,"Feb 24, 2013",2,0,0
3,21,0,0.261,0,"May 04, 2013",0,0,0
1,21,0,0.249,0,"Mar 23, 2013",0,0,0
1,15,1,0.293,0,"Feb 23, 2013",1,1,0
0,21,1,0.264,0,"Apr 06, 2013",0,0,1
7,21,8,0.248,0,"Mar 29, 2013",2,0,0
