RC,HR,BB,3B,PA,AB,H
5,0,5,0,54,49,13
11,1,9,1,145,133,29
1,0,0,0,1,1,1
39,5,26,4,336,297,79
0,0,0,0,3,3,0
79,4,101,9,650,515,142
0,0,0,0,2,2,0
93,13,53,4,559,502,162
1,0,1,0,25,23,4
80,3,80,9,608,507,146
5,0,0,0,10,10,6
7,0,2,0,111,106,26
1,0,0,0,55,52,7
134,28,87,4,704,592,198
70,1,44,5,679,619,175
0,0,1,0,15,14,0
43,2,11,6,420,401,110
1,0,1,0,13,12,3
40,4,37,4,368,324,83
1,0,2,0,11,9,2
12,1,21,2,188,159,30
0,0,0,0,4,4,0
98,9,70,9,586,498,162
27,2,22,3,246,220,58
9,5,6,0,70,60,14
95,26,55,8,651,579,158
0,0,0,0,10,8,0
0,0,1,0,17,16,0
40,5,34,2,354,302,83
28,1,23,1,358,317,79
3,0,1,0,40,38,10
6,0,1,0,30,29,12
0,0,1,0,17,16,0
27,3,11,8,137,122,41
3,0,4,2,36,31,6
0,0,0,0,5,4,0
7,0,5,0,140,131,28
3,0,2,0,97,88,14
3,0,2,0,84,77,13
1,0,2,0,47,40,5
1,0,2,0,38,33,5
12,0,9,1,150,136,34
3,0,3,1,54,47,10
6,0,5,1,76,68,18
34,0,30,4,444,405,93
2,0,8,0,60,46,7
186,45,138,7,688,540,194
1,1,0,0,30,29,4
13,0,10,1,126,113,31
2,0,1,0,34,31,6
4,0,1,0,35,34,11
40,4,19,9,397,366,92
0,0,0,0,8,8,0
16,1,13,2,202,185,44
0,0,0,0,3,3,0
16,5,7,3,150,139,33
9,0,6,0,105,94,24
8,1,3,1,136,130,27
0,0,1,0,8,7,0
24,1,15,4,223,201,57
2,0,2,0,29,27,6
3,0,2,0,60,57,12
40,1,15,4,387,363,105
11,0,5,5,167,157,32
3,0,1,0,34,32,9
90,4,65,5,699,609,182
29,0,39,4,355,298,72
0,0,0,0,1,0,0
1,0,1,0,12,11,3
61,6,12,4,452,408,132
23,0,11,4,202,175,51
2,0,0,0,5,5,3
3,0,4,0,110,100,16
1,0,0,0,10,10,3
2,0,1,0,88,80,12
0,0,3,0,18,15,0
99,9,31,16,536,485,168
13,1,4,2,91,87,25
14,0,10,0,98,87,30
22,0,17,1,210,181,50
1,0,3,1,24,21,3
0,0,0,0,9,8,0
139,15,52,8,656,595,223
1,0,0,0,2,2,1
15,0,8,4,117,107,29
0,0,0,0,5,5,0
26,0,27,1,333,295,76
1,0,1,0,12,11,3
5,0,1,1,104,94,20
85,3,52,9,610,532,165
2,0,0,0,8,8,4
57,1,31,3,504,444,129
8,0,4,2,95,85,21
2,0,1,1,19,18,5
6,0,14,0,94,79,16
1,0,0,0,24,24,5
0,0,0,0,2,2,0
5,0,10,0,128,116,19
0,0,2,0,14,11,0
1,0,0,0,29,27,5
13,1,5,3,138,127,31
0,0,0,0,1,1,0
0,0,0,0,14,14,0
69,5,52,5,521,448,138
1,0,1,1,5,4,1
22,3,31,2,230,191,45
11,0,8,0,127,116,29
90,10,65,8,577,493,156
0,0,0,0,8,7,0
1,0,0,0,17,16,4
40,2,21,6,369,334,89
1,0,1,0,28,27,4
0,0,0,0,2,2,0
1,0,2,0,9,7,1
81,8,29,9,660,610,178
37,1,11,6,255,242,76
33,0,41,4,308,254,71
1,0,1,0,15,14,3
65,5,67,3,611,517,141
8,0,6,1,117,108,24
5,0,4,1,66,60,14
4,0,1,0,46,44,12
44,2,50,3,403,336,89
2,0,0,0,57,55,11
4,0,6,0,104,89,15
19,0,5,1,140,135,45
6,1,2,0,83,79,20
74,5,46,9,616,536,151
5,1,2,0,75,69,16
4,1,3,0,83,76,14
1,0,4,0,46,40,5
50,3,36,5,560,508,128
36,4,27,1,230,201,65
7,1,0,3,95,91,21
