Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
S McGill,LYN,C,0.269,56,186,20,50,16,2,1,19,16,26,2,0,0,1,6,0.341,0.392,0.734
W Ramos,POT,C,0.0,3,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0.167,0.0,0.167
A de San Miguel,FRE,C,0.24,65,221,31,53,10,0,10,33,34,57,3,1,1,0,4,0.366,0.421,0.787
Z Chavez,FRE,C,0.295,75,285,40,84,20,0,7,49,46,56,0,0,0,2,7,0.39,0.439,0.829
L De La Cruz,LYN,C,0.202,24,84,7,17,2,0,0,3,6,13,0,0,3,0,3,0.256,0.226,0.482
A Nunez,LYN,C,0.133,18,45,3,6,2,0,1,4,3,14,0,0,0,0,2,0.188,0.244,0.432
L Escobar,SAL,C,0.167,4,12,0,2,0,0,0,0,0,4,0,0,1,0,3,0.167,0.167,0.333
C Blair,SAL,C,0.25,41,124,21,31,9,2,4,13,23,39,2,1,0,0,4,0.372,0.452,0.823
A Nieto,POT,C,0.285,110,390,68,111,29,1,11,53,53,82,4,2,1,4,7,0.373,0.449,0.821
M Gibbs,WIL,C,0.208,17,48,3,10,3,0,0,4,9,17,1,0,0,0,0,0.333,0.271,0.604
T Wolters,CAR,C,0.277,80,289,36,80,13,0,3,33,41,58,3,6,4,3,4,0.369,0.353,0.722
M Ohlman,FRE,C,0.313,100,361,61,113,29,4,13,53,56,93,5,0,0,2,11,0.41,0.524,0.934
K Swab,WIL,C,0.212,39,132,18,28,8,2,4,15,10,37,2,1,0,2,3,0.264,0.394,0.658
K Deglan,MB,C,0.231,89,308,37,71,10,2,12,49,33,94,0,0,2,2,6,0.331,0.393,0.723
A Lavisky,CAR,C,0.224,39,143,20,32,8,0,3,21,10,34,0,0,2,3,5,0.283,0.343,0.626
C Leonida,POT,C,0.225,58,178,24,40,6,0,10,25,21,58,1,2,3,3,2,0.319,0.427,0.746
C Valerio,CAR,C,0.238,53,185,21,44,12,1,2,26,20,48,0,0,0,5,7,0.305,0.346,0.651
C Brownsten,LYN,C,0.16,51,131,14,21,2,0,0,10,13,22,0,0,3,1,9,0.265,0.176,0.44
J Alfaro,MB,C,0.182,3,11,4,2,0,0,0,0,2,5,0,0,0,0,0,0.308,0.182,0.49
B Swihart,SAL,C,0.298,103,376,45,112,29,7,2,42,41,63,7,8,1,3,9,0.366,0.428,0.794
P Morin,WIL,C,0.226,88,297,32,67,13,2,1,30,29,68,4,3,3,8,3,0.294,0.293,0.587
J Lowery,CAR,C,0.195,12,41,4,8,2,1,1,5,9,12,0,0,0,0,0,0.34,0.366,0.706
K Smith,WS,C,0.286,101,384,66,110,26,3,12,73,38,66,4,1,2,3,13,0.37,0.464,0.834
M Medina,WS,C,0.211,55,185,18,39,7,0,2,14,20,38,1,1,1,1,4,0.293,0.281,0.574
P Cantwell,MB,C,0.249,70,257,35,64,13,0,1,24,17,44,5,2,5,2,9,0.313,0.311,0.625
B Tanner,WS,C,0.346,16,52,6,18,6,0,1,7,8,13,0,0,0,0,1,0.433,0.519,0.953
T Roberson,SAL,C,0.268,17,56,10,15,2,0,2,8,6,14,0,0,0,0,6,0.339,0.411,0.749
C Anselment,LYN,C,0.08,10,25,3,2,0,0,0,0,6,5,1,0,0,0,1,0.281,0.08,0.361
C Manuel,POT,C,0.4,4,15,2,6,0,0,0,0,1,1,0,0,0,0,0,0.438,0.4,0.838
