Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Jai Lewis,"6' 5.75""","6' 6.5""",296.0,"7' 1.5""", , ,0,0, , , , , , , , ,No
Eric Williams,"6' 7.25""","6' 8.75""",285.0,"7' 4.25""","8' 10.5""",13.0,0,0,28.5,"11' 3""",29.0,"11' 3.5""",17.0,11.71,3.56,58.0,14
Frans Steyn,"7' 1.25""","7' 2.5""",280.0,"7' 4.25""","9' 1""",12.8,0,0,28.5,"11' 5.5""",29.5,"11' 6.5""", ,11.67,3.38,78.0,No
Aaron Gray,"7' 0""","7' 1""",280.0,"7' 3""","9' 1""",15.0,0,0,26.5,"11' 3.5""",30.5,"11' 7.5""",17.0,12.63,3.71,75.0,49
Ian Vouyoukas,"6' 8.5""","6' 9.5""",267.0,"7' 0.75""","9' 0.5""",14.8,0,0,23.0,"10' 11.5""",28.0,"11' 4.5""",8.0,13.7,3.72,81.0,No
Marco Killingsworth,"6' 5.5""","6' 6.75""",266.0,"7' 3""","8' 8""",19.0,0,0,28.0,"11' 0""",32.0,"11' 4""",13.0,11.42,3.34,47.0,No
J.P. Batista,"6' 7.5""","6' 8.5""",265.0,"6' 10""","8' 7.5""",12.0,0,0,26.0,"10' 9.5""",30.5,"11' 2""",26.0,11.62,3.38,18.0,No
John Bowler,"6' 7""","6' 8.25""",264.0,"6' 10.5""", , ,0,0, , , , , , , , ,No
Craig Smith,"6' 5.5""","6' 6.5""",259.0,"6' 9.5""","8' 7.5""",12.2,0,0,30.0,"11' 1.5""",29.5,"11' 1""", ,11.59,3.4,74.0,36
Shelden Williams,"6' 7.5""","6' 8.5""",258.0,"7' 4.25""","8' 8""",11.4,0,0,29.0,"11' 1""",33.5,"11' 5.5""",25.0,11.53,3.59,31.0,5
Paul Millsap,"6' 6.25""","6' 7.25""",258.0,"7' 1.5""","8' 9.5""",9.7,0,0,28.5,"11' 2""",32.5,"11' 6""",15.0,11.67,3.3,38.0,47
Yemi Nicholson,"6' 7.75""","6' 9.5""",258.0,"7' 4.25""","8' 11""",17.2,0,0,26.5,"11' 1.5""",26.0,"11' 1""",8.0,12.57,3.65,80.0,No
Greg Brunner,"6' 7""","6' 8""",257.0,"6' 10.5""", , ,0,0, , , , , , , , ,No
Yemi Nicholson,"6' 8.75""","6' 9.75""",257.0,"7' 4""", , ,0,0, , , , , , , , ,No
Terence Dials,"6' 7.75""","6' 9""",253.0,"7' 0""","8' 10""",15.8,0,0,26.5,"11' 0.5""",30.0,"11' 4""",16.0,11.54,3.5,55.0,No
Daniel Kickert,"6' 10""","6' 10.5""",253.0,"6' 10.25""", , ,0,0, , , , , , , , ,No
Paul Miller,"6' 8.5""","6' 9.25""",251.0,"7' 0""","8' 5.5""",13.8,0,0,29.0,"10' 10.5""",35.5,"11' 5""",25.0,12.25,3.66,44.0,62
Kenny Adeleke,"6' 7.5""","6' 8.5""",250.0,"6' 11""", , ,0,0, , , , , , , , ,No
Kenny Adeleke,"6' 6.5""","6' 7.75""",250.0,"6' 10.25""","8' 8""",10.5,0,0,28.5,"11' 0.5""",30.5,"11' 2.5""",26.0,11.57,3.47,23.0,No
Paul Miller,"6' 9""","6' 10.25""",250.0,"7' 0""", , ,0,0, , , , , , , , ,62
Torin Francis,"6' 10""","6' 11""",249.0,"7' 1.25""", , ,0,0, , , , , , , , ,No
+ Andrea Bargnani,"7' 0""","7' 1.25""",249.0, ,"9' 2""", ,0,0, , , , , , , , ,1
Patrick O'Bryant,"6' 11""","7' 0""",249.0,"7' 5.75""","9' 5""",10.0,0,0,26.5,"11' 7.5""",30.0,"11' 11""",13.0,12.68,3.63,79.0,9
Michael Southall,"6' 9.75""","6' 10.75""",248.0,"7' 4.5""", , ,0,0, , , , , , , , ,No
Torin Francis,"6' 8.5""","6' 10""",247.0,"7' 1""","8' 9.5""",12.4,0,0,26.5,"11' 0""",32.0,"11' 5.5""",9.0,11.97,3.51,71.0,No
Curtis Withers,"6' 6.75""","6' 7.5""",242.0,"6' 10.25""", , ,0,0, , , , , , , , ,No
Michael Southall,"6' 9.5""","6' 10.25""",241.0,"7' 4.25""","8' 11.5""",7.9,0,0,31.5,"11' 7""",37.0,"12' 0.5""",2.0,12.29,3.51,76.0,No
Eric Hicks,"6' 5.5""","6' 7""",240.0,"7' 1.75""", , ,0,0, , , , , , , , ,No
Kelly Whitney,"6' 7.5""","6' 9""",240.0,"7' 1.5""", , ,0,0, , , , , , , , ,No
Hilton Armstrong,"6' 9.5""","6' 10.25""",240.0,"7' 4""","9' 1""",6.3,0,0,28.5,"11' 5.5""",31.5,"11' 8.5""",13.0,12.28,3.53,67.0,12
Eric Hicks,"6' 4.75""","6' 5.5""",238.0,"7' 1.5""","8' 9.5""",7.1,0,0,30.0,"11' 3.5""",34.0,"11' 7.5""",20.0,12.06,3.34,29.0,No
Steven Smith,"6' 7.5""","6' 9.25""",238.0,"7' 0.5""","8' 8""",7.8,0,0,29.5,"11' 1.5""",34.5,"11' 6.5""",15.0,12.08,3.4,49.0,No
Brad Buckman,"6' 7.25""","6' 8.75""",238.0,"7' 0""","8' 11.5""",10.5,0,0,25.5,"11' 1""",30.5,"11' 6""",10.0,12.26,3.54,77.0,No
Saer Sene,"6' 11""","7' 0""",237.0,"7' 8.5""","9' 5""",6.6,0,0,28.5,"11' 9.5""",31.0,"12' 0""",7.0,12.52,3.38,72.0,10
Tedric Hill,"6' 7.75""","6' 9""",236.0,"7' 1""","8' 11""",7.3,0,0,30.0,"11' 5""",36.5,"11' 11.5""",1.0,12.23,3.24,65.0,No
Joah Tucker,"6' 4.5""","6' 5.75""",235.0,"6' 6.75""", , ,0,0, , , , , , , , ,No
Mohamed Kone,"6' 9.25""","6' 10.75""",235.0,"7' 3""", , ,0,0, , , , , , , , ,No
Mike Hall,"6' 7.5""","6' 8.5""",234.0,"7' 2.25""", , ,0,0, , , , , , , , ,No
Travis Garrison,"6' 7.5""","6' 8.5""",234.0,"7' 2.25""", , ,0,0, , , , , , , , ,No
LaMarcus Aldridge,"6' 10""","6' 11.25""",234.0,"7' 4.75""","9' 2""",8.7,0,0,26.5,"11' 4.5""",34.0,"12' 0""",8.0,12.02,3.43,68.0,2
Nik Caner-Medley,"6' 6.5""","6' 8""",234.0,"6' 9""","8' 7""",9.6,0,0,28.5,"10' 11.5""",35.5,"11' 6.5""",17.0,10.57,3.21,9.0,No
Nick Lewis,"6' 9.75""","6' 11""",234.0,"6' 10""", , ,0,0, , , , , , , , ,No
Pops Mensah-Bonsu,"6' 7.5""","6' 9""",232.0,"7' 0""","8' 9.5""",5.8,0,0,31.5,"11' 5""",36.0,"11' 9.5""",19.0,11.47,3.29,14.0,No
Quincy Davis,"6' 8""","6' 9""",232.0,"7' 5""", , ,0,0, , , , , , , , ,No
Harding Nana,"6' 5.5""","6' 6.5""",232.0,"6' 11.25""", , ,0,0, , , , , , , , ,No
Dan Oppland,"6' 7""","6' 7.5""",231.0,"6' 8""", , ,0,0, , , , , , , , ,No
Christian Maraker,"6' 9""","6' 10""",231.0,"7' 0""", , ,0,0, , , , , , , , ,No
Taj Gray,"6' 7.25""","6' 8.5""",231.0,"7' 0.75""","8' 11""",6.8,0,0,28.5,"11' 3.5""",33.0,"11' 8""",10.0,11.02,3.45,52.0,No
Jamaal Williams,"6' 5.5""","6' 7""",230.0,"7' 1""", , ,0,0, , , , , , , , ,No
Akin Akingbala,"6' 9.5""","6' 10.5""",228.0,"7' 2.75""", , ,0,0, , , , , , , , ,No
David Noel,"6' 5.75""","6' 6""",228.0,"6' 9.5""", , ,0,0, , , , , , , , ,39
Shawne Williams,"6' 7.25""","6' 8.75""",227.0,"7' 3""","8' 8""",8.0,0,0,32.0,"11' 4""",31.0,"11' 3""", ,10.69,3.3,57.0,17
Curtis Withers,"6' 6""","6' 6.5""",227.0,"6' 10""","8' 5""",5.0,0,0,35.0,"11' 4""",36.5,"11' 5.5""",14.0,11.54,3.1,10.0,No
James Augustine,"6' 8.25""","6' 9.75""",227.0,"7' 0.25""","8' 8""",5.5,0,0,30.0,"11' 2""",32.5,"11' 4.5""",13.0,10.54,3.25,16.0,41
Rashad Anderson,"6' 3.75""","6' 5""",225.0,"6' 6.75""", , ,0,0, , , , , , , , ,No
Joah Tucker,"6' 3.75""","6' 5.25""",224.0,"6' 6.5""","8' 3.5""",7.0,0,0,29.0,"10' 8.5""",34.0,"11' 1.5""",19.0,11.58,3.31,21.0,No
Solomon Jones,"6' 8.5""","6' 9.75""",224.0,"7' 4""","9' 1""",7.4,0,0,32.0,"11' 9""",39.0,"12' 4""",6.0,11.27,3.3,41.0,33
Rashad Anderson,"6' 3.25""","6' 4.5""",224.0,"6' 7""","8' 4""",17.3,0,0,27.5,"10' 7.5""",32.5,"11' 0.5""",13.0,11.77,3.48,60.0,No
Mardy Collins,"6' 4.25""","6' 5.5""",224.0,"6' 10""","8' 7""",10.0,0,0,31.5,"11' 2.5""",37.5,"11' 8.5""",9.0,12.0,3.27,33.0,29
