Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Drafted
Kelly Olynyk,"6' 10.75""","7' 0""",234.0,"6' 9.75""","9' 0""",6.7,8.5,10.0,24.5,"11' 0.5""",29.5,"11' 5.5""",5.0,11.42,3.59,13
Rudy Gobert,"7' 0.5""","7' 2""",238.0,"7' 8.5""","9' 7""",4.4,9.75,10.0,25.0,"11' 8""",29.0,"12' 0""",7.0,12.85,3.57,27
Erik Murphy,"6' 8.75""","6' 9.5""",240.0,"6' 10.5""","9' 0""",8.0,8.75,9.75,24.5,"11' 0.5""",29.5,"11' 5.5""",13.0,12.19,3.57,49
Deshaun Thomas,"6' 5""","6' 7""",220.0,"6' 10""","8' 8""",9.1,8.0,8.75,28.5,"11' 0.5""",32.0,"11' 4""",5.0,12.94,3.53,58
Tony Mitchell,"6' 7.5""","6' 8.75""",236.0,"7' 2.5""","8' 10.5""",5.6,9.0,10.0,33.5,"11' 8""",38.0,"12' 0.5""",13.0,11.82,3.52,37
Grant Jerrett,"6' 8.75""","6' 10.25""",232.0,"7' 2""","9' 1""",10.1,8.5,9.25,28.5,"11' 5.5""",34.0,"11' 11""",2.0,11.85,3.51,40
Brandon Davies,"6' 8.5""","6' 10.25""",242.0,"7' 1.5""","9' 0.5""",8.6,9.0,11.0,26.0,"11' 2.5""",31.5,"11' 8""",7.0,11.22,3.5,No
Jeff Withey,"6' 10.75""","7' 0.5""",222.0,"7' 2""","9' 2.5""",8.7,9.0,9.75,26.5,"11' 5""",29.0,"11' 7.5""",10.0,12.49,3.47,39
Kenny Kadji,"6' 8.75""","6' 10""",242.0,"7' 3""","8' 10.5""",7.5,9.0,10.25,34.0,"11' 8.5""",38.0,"12' 0.5""",9.0,11.47,3.44,No
Mike Muscala,"6' 10.25""","6' 11.5""",230.0,"7' 1""","9' 0""",6.8,8.5,9.0,28.0,"11' 4""",33.5,"11' 9.5""",5.0,11.76,3.44,44
