Year,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,OBP,SLG,AVG
2015,Detroit,AL,87,291,38,76,16,4,2,16,19,79,14,6,0.306,0.364,0.261
2014,Toronto,AL,94,239,31,54,8,1,2,13,25,74,15,5,0.311,0.293,0.226
 ,Buffalo,AAA,51,205,29,50,5,2,4,25,17,65,21,8,0.305,0.346,0.244
2013,Toronto,AL,52,147,15,38,6,5,2,12,5,37,4,3,0.283,0.408,0.259
 ,Buffalo,AAA,106,393,64,94,17,6,3,27,38,121,22,13,0.316,0.336,0.239
2012,Toronto,AL,56,166,25,37,7,3,1,11,17,59,15,3,0.303,0.319,0.223
 ,Las Vegas,AAA,102,420,87,120,21,10,5,43,49,101,34,12,0.366,0.419,0.286
2011,New Hampshire,AA,137,509,87,129,20,7,16,59,62,154,70,15,0.349,0.415,0.253
2010,Clearwater,A,103,418,67,110,17,11,4,20,32,103,36,27,0.325,0.385,0.263
 ,Dunedin,A,27,94,21,24,3,2,3,6,13,29,9,5,0.36,0.426,0.255
2009,Lakewood,A,131,510,72,132,24,9,2,52,35,110,76,20,0.323,0.353,0.259
2008,GCL Phillies,R,11,39,4,10,2,1,0,3,1,12,3,1,0.293,0.359,0.256
AL,Total,AL,289,843,109,205,37,13,7,52,66,249,48,17,0.303,0.343,0.243
AAA,Total,AAA,259,1018,180,264,43,18,12,95,104,287,77,33,0.335,0.372,0.259
AA,Total,AA,137,509,87,129,20,7,16,59,62,154,70,15,0.349,0.415,0.253
A,Total,A,261,1022,160,266,44,22,9,78,80,242,121,52,0.327,0.373,0.26
R,Total,R,11,39,4,10,2,1,0,3,1,12,3,1,0.293,0.359,0.256
