Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jeremy Hazelbaker,Gre,116,442,78,118,29,9,12,62,63,17,59,135,0.267,0.36,0.455,0.815
Anthony Rizzo,PorSal,136,531,92,138,42,0,25,100,10,1,61,132,0.26,0.334,0.48,0.814
Peter Hissey,Sal,112,444,63,104,22,6,1,37,25,9,42,127,0.234,0.308,0.318,0.626
Lars Anderson,PawPor,130,471,62,129,37,3,15,69,3,3,51,125,0.274,0.349,0.461,0.81
Will Middlebrooks,Sal,114,435,69,120,31,2,12,70,5,3,35,121,0.276,0.331,0.439,0.77
Aaron Bates,Paw,122,429,49,103,15,2,12,54,0,1,59,119,0.24,0.338,0.368,0.706
Michael Almanzar,Gre,127,487,56,120,27,3,10,55,4,1,30,114,0.246,0.294,0.376,0.67
Ryan Lavarnway,PorSal,126,462,91,133,27,0,22,102,1,0,70,104,0.288,0.393,0.489,0.882
Derrik Gibson,Gre,122,487,77,112,22,3,2,40,39,7,61,101,0.23,0.321,0.3,0.621
Oscar Tejeda,Sal,126,508,76,156,32,5,11,69,17,7,32,96,0.307,0.344,0.455,0.799
Ronald Bermudez,SalGre,119,434,62,119,34,3,10,60,4,3,36,94,0.274,0.337,0.435,0.772
Nate Spears,Por,136,514,104,140,30,4,20,82,13,1,84,93,0.272,0.38,0.463,0.843
Luis Exposito,Por,125,473,65,123,39,1,11,94,1,2,55,92,0.26,0.339,0.416,0.756
Reymond Fuentes,Gre,104,374,59,101,15,5,5,41,42,5,25,87,0.27,0.328,0.377,0.705
Drew Hedman,Sal,93,326,31,75,15,2,3,34,3,1,23,87,0.23,0.286,0.316,0.602
Tim Federowicz,Sal,109,407,47,103,34,1,4,61,1,1,43,86,0.253,0.324,0.371,0.695
Ryan Dent,Sal,112,382,44,86,17,3,6,37,9,11,30,86,0.225,0.289,0.332,0.622
Mitch Dening,Sal,116,446,69,122,19,6,3,45,14,9,47,84,0.274,0.345,0.363,0.709
Matt Sheely,PawPor,81,249,30,59,8,4,1,23,10,7,18,80,0.237,0.297,0.313,0.61
Bryce Brentz,Low,69,262,28,52,14,4,5,39,5,4,21,76,0.198,0.259,0.34,0.598
Kolbrin Vitek,GreLow,68,244,37,66,16,4,4,33,17,3,33,74,0.27,0.364,0.418,0.782
Josh Reddick,Paw,114,451,59,120,28,4,18,65,4,7,25,73,0.266,0.301,0.466,0.767
Alex Hassan,PawSal,107,345,46,98,28,3,8,49,6,1,57,69,0.284,0.393,0.452,0.845
Dusty Brown,3 Teams,74,248,33,57,20,0,8,30,1,0,27,68,0.23,0.311,0.407,0.718
David Renfroe,Low,58,200,22,38,8,0,2,13,1,1,20,68,0.19,0.267,0.26,0.527
