Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Jimmy Rollins,LA,9,4,0.444,1,0,0,1,0,1,2,0,0.556,0.4,0.956
Eric Young Jr.,ATL,9,3,0.333,0,1,0,0,0,0,0,0,0.556,0.333,0.889
Jarrod Saltalamacchia,AZ,8,2,0.25,1,0,0,0,1,3,0,0,0.375,0.333,0.708
Curtis Granderson,NY-N,8,1,0.125,1,0,0,0,1,2,0,0,0.25,0.222,0.472
Marcell Ozuna,MIA,8,0,0.0,0,0,0,1,0,3,0,0,0.0,0.0,0.0
Adeiny Hechavarria,MIA,7,3,0.429,1,0,0,1,0,0,0,0,0.571,0.429,1.0
Casey McGehee,MIA,7,3,0.429,0,0,0,0,1,0,0,0,0.429,0.5,0.929
Daniel Murphy,NY-N,7,3,0.429,1,0,0,2,2,1,2,0,0.571,0.556,1.127
Ben Revere,PHI,7,3,0.429,0,0,0,0,0,0,0,0,0.429,0.429,0.857
Ike Davis,OAK,6,4,0.667,3,0,1,3,2,0,1,0,1.667,0.75,2.417
Yasmany Tomas,AZ,6,3,0.5,2,0,0,1,0,0,0,0,0.833,0.5,1.333
Will Venable,SD,6,3,0.5,0,0,0,1,0,1,0,0,0.5,0.5,1.0
David Wright,NY-N,6,3,0.5,0,0,0,2,1,1,0,0,0.5,0.571,1.071
Paul Goldschmidt,AZ,6,2,0.333,0,0,2,4,1,1,0,0,1.333,0.429,1.762
Cesar Hernandez,PHI,6,2,0.333,0,0,0,0,0,1,0,0,0.333,0.333,0.667
Jake Lamb,AZ,6,2,0.333,1,0,0,2,0,2,0,0,0.5,0.333,0.833
Cody Asche,PHI,6,1,0.167,0,0,0,0,0,3,0,0,0.167,0.167,0.333
Brandon Crawford,SF,6,1,0.167,1,0,0,0,0,1,0,1,0.333,0.167,0.5
Adrian Gonzalez,LA,6,1,0.167,0,0,1,2,0,1,0,0,0.667,0.167,0.833
A.J. Pollock,AZ,6,1,0.167,1,0,0,2,0,0,0,0,0.333,0.167,0.5
Christian Yelich,MIA,6,1,0.167,0,0,0,0,1,1,0,0,0.167,0.286,0.452
Marlon Byrd,CIN,5,3,0.6,0,0,1,2,0,1,0,0,1.2,0.6,1.8
Lucas Duda,NY-N,5,3,0.6,1,0,0,2,0,0,0,0,0.8,0.6,1.4
Chris Owings,AZ,5,3,0.6,1,0,0,3,1,0,0,0,0.8,0.667,1.467
Giancarlo Stanton,MIA,5,2,0.4,1,0,1,4,2,1,0,0,1.2,0.571,1.771
Domonic Brown,PHI,5,1,0.2,0,0,0,0,1,2,0,0,0.2,0.333,0.533
Dee Gordon,MIA,5,1,0.2,0,0,0,0,0,1,0,0,0.2,0.2,0.4
Billy Hamilton,CIN,5,1,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.4
Rene Rivera,TB,5,1,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.4
Andre Ethier,LA,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brayan Pena,CIN,5,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jhonny Peralta,STL,5,0,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Nick Ahmed,AZ,4,2,0.5,0,0,0,1,0,0,0,0,0.5,0.5,1.0
