RBI,BB,Team,HR
14,19,FW,5
0,0,WM,0
0,5,SB,0
37,22,WIS,6
20,49,LC,4
43,17,FW,9
28,15,QC,2
6,5,QC,2
23,33,DAY,2
18,9,BEL,5
65,32,CLI,16
29,43,QC,4
49,38,BG,1
40,34,CLI,10
10,13,WIS,0
53,21,WIS,7
26,25,LC,0
0,8,KC,0
13,6,CR,2
42,29,QC,8
37,13,PEO,3
17,14,WM,6
24,21,LAN,3
2,1,BEL,0
29,18,DAY,0
76,45,WM,7
20,17,CLI,4
47,31,BUR,6
10,12,SB,1
65,16,WM,16
11,12,BEL,2
6,5,QC,1
29,23,CLI,4
29,22,LAN,4
39,12,WM,13
40,25,DAY,7
16,23,KC,0
81,38,BG,22
10,27,PEO,0
1,1,FW,0
2,5,CLI,0
7,7,QC,3
19,41,WM,5
35,39,LC,3
71,34,DAY,16
0,0,QC,0
0,1,WIS,0
31,17,DAY,1
45,37,GL,12
42,34,KC,3
34,28,BEL,4
27,11,FW,3
72,60,WIS,15
3,3,WM,1
44,86,BG,6
41,25,BEL,7
14,13,WM,2
26,20,PEO,2
1,0,FW,0
1,6,CR,0
9,7,BEL,2
30,14,SB,7
6,3,WIS,0
1,7,GL,0
5,3,WM,0
50,42,FW,5
14,8,KC,3
4,2,LAN,0
13,38,CLI,3
34,27,QC,1
28,46,WM,0
55,44,LAN,14
59,37,BUR,14
0,1,LC,0
0,0,WM,0
3,5,CR,0
24,8,LAN,5
5,4,WIS,1
44,37,GL,7
1,0,DAY,0
69,35,LC,19
1,1,PEO,0
6,2,LC,1
50,36,SB,2
43,53,FW,2
25,47,SB,1
23,19,BEL,2
25,21,QC,5
12,15,CR,3
28,49,PEO,2
25,39,CLI,5
1,2,CR,0
50,51,WIS,6
27,21,PEO,5
0,0,DAY,0
86,67,LAN,16
70,77,QC,20
7,4,CLI,0
21,17,FW,3
5,10,KC,0
2,4,FW,0
44,24,WM,7
40,37,FW,3
17,13,BEL,4
11,3,PEO,0
2,1,QC,0
42,36,CR,12
0,3,CR,0
35,35,LAN,6
37,15,CR,3
2,6,QC,0
11,5,CR,1
20,24,WIS,2
10,5,DAY,1
10,19,GL,1
25,21,BEL,1
11,6,BG,1
3,1,BG,1
34,36,FW,1
9,8,WIS,1
1,0,LC,0
1,2,WM,0
31,15,KC,8
0,0,BEL,0
1,5,LAN,0
7,8,QC,0
37,25,GL,11
24,29,LC,0
0,0,GL,0
6,4,FW,0
54,39,QC,10
7,4,CLI,0
0,1,FW,0
35,24,WIS,8
37,16,PEO,2
8,8,FW,0
18,16,QC,0
28,26,CLI,4
9,15,PEO,0
22,20,BUR,2
68,44,BUR,17
5,5,BEL,0
34,38,CR,8
37,23,CR,4
46,76,WIS,12
20,12,BUR,3
31,10,BG,8
39,55,LAN,4
1,3,PEO,0
60,49,SB,8
24,23,WM,3
63,34,GL,19
44,31,LC,5
60,24,KC,14
9,2,WIS,0
44,23,BG,8
21,23,LC,6
2,2,KC,0
26,58,QC,2
11,8,LAN,0
14,7,DAY,2
27,36,KC,4
49,59,BUR,7
0,1,KC,0
1,7,SB,0
30,38,KC,7
7,7,CLI,1
45,42,FW,8
30,25,WIS,3
6,10,CLI,1
1,2,DAY,0
0,0,CLI,0
18,13,LAN,2
5,14,LC,0
14,14,WIS,2
11,14,SB,0
10,9,CR,0
6,8,BG,1
14,8,SB,1
7,10,DAY,0
42,13,LC,11
12,19,FW,0
12,9,LC,0
10,13,QC,0
15,6,PEO,3
56,29,CLI,18
10,17,QC,0
58,50,DAY,8
25,28,CLI,4
17,17,LC,3
68,36,FW,9
33,34,GL,12
5,4,QC,0
0,0,QC,0
23,12,GL,5
3,4,BUR,0
77,43,LAN,14
52,24,PEO,5
20,16,CR,0
19,16,CLI,2
62,32,QC,8
29,30,BUR,3
4,5,CR,1
53,61,LAN,4
9,24,CR,0
33,19,QC,4
5,1,WM,1
