SO,3B,H,GIDP,SB,AVG,SF,R
12,1,2,0,0,0.051,0,5
26,0,37,2,3,0.222,3,38
19,2,61,3,1,0.381,3,29
11,0,21,6,2,0.231,0,7
25,1,62,4,9,0.302,1,30
41,4,66,5,10,0.276,2,45
15,1,11,0,2,0.204,1,8
5,1,2,0,0,0.182,0,1
20,0,10,2,0,0.149,1,3
6,0,4,0,0,0.235,0,2
34,0,40,2,2,0.244,0,19
33,0,77,10,6,0.317,1,39
3,0,3,0,0,0.231,2,3
2,3,70,2,11,0.361,1,31
32,1,36,2,1,0.261,2,17
36,0,36,1,4,0.229,3,18
21,1,57,4,3,0.324,2,25
19,1,48,5,7,0.244,1,35
25,0,30,2,0,0.226,2,25
2,0,4,0,0,0.19,0,0
31,0,74,8,0,0.322,0,35
62,0,67,5,14,0.271,0,30
20,0,13,3,3,0.165,0,11
12,0,28,5,4,0.283,0,17
8,0,9,2,1,0.167,1,5
43,0,34,2,0,0.211,3,20
21,1,61,6,4,0.324,2,26
5,0,8,0,1,0.286,0,2
26,0,16,2,1,0.168,0,7
