SF,BB,OPS,G,AB,R,SO
0,1,1.100,3,5,1,1
2,45,.757,131,495,69,81
0,2,.978,14,48,8,4
1,18,.589,56,179,13,41
0,1,1.500,2,5,1,1
1,4,.528,17,54,7,11
3,30,.811,90,262,35,56
0,10,.767,25,83,15,10
2,46,.653,129,491,70,101
1,9,.676,38,144,21,45
3,36,.745,125,389,47,67
3,48,.823,135,503,85,115
2,24,.854,115,428,56,77
2,12,.685,49,197,28,34
3,35,.687,121,408,56,46
2,10,.575,30,93,13,11
1,11,.690,32,105,14,14
0,32,.680,96,325,46,82
1,17,.709,51,153,20,46
1,11,.605,54,202,28,19
0,63,.712,135,544,80,123
1,16,.650,66,178,15,23
0,1,.267,5,22,1,4
0,2,1.000,2,6,1,2
0,6,.631,30,74,7,19
0,0,.611,4,18,2,5
0,33,.738,61,212,32,36
0,1,1.071,2,7,0,2
0,1,.929,5,19,0,6
3,22,.534,102,363,33,128
1,12,.636,44,149,14,36
0,9,.748,21,37,6,11
0,31,.633,116,319,50,65
1,21,.732,95,359,34,66
2,34,.917,66,256,39,26
0,15,.784,43,168,24,30
2,10,.621,97,387,39,70
1,20,.637,51,175,21,31
4,66,.773,112,431,66,109
1,14,.821,66,273,46,58
1,4,.731,33,129,22,14
3,24,.682,59,212,30,34
2,16,.582,56,195,20,50
0,1,.321,7,15,0,7
1,23,.679,37,128,18,24
1,32,.691,124,489,69,100
1,14,.944,34,130,27,22
0,5,.466,28,92,7,22
2,17,.726,72,300,38,43
0,6,.635,48,151,18,16
0,3,.585,7,17,1,4
1,2,.397,14,41,2,8
0,1,.984,3,7,2,1
7,40,.826,138,531,81,112
4,38,.893,99,381,67,105
0,17,.717,62,209,23,54
0,1,1.056,3,9,4,1
0,20,.576,67,239,23,28
3,8,.751,36,122,17,27
0,1,.545,10,38,1,7
0,0,.000,1,1,0,1
3,25,.626,108,400,48,89
3,23,.690,95,360,46,55
2,27,.567,89,235,29,41
1,5,.687,20,54,4,15
0,8,.915,24,79,13,19
3,33,.630,120,372,38,82
1,7,.668,21,80,9,29
0,16,.482,32,122,13,27
3,7,.798,28,106,17,18
0,12,.624,41,150,22,21
0,1,.790,8,30,4,11
0,9,.765,39,141,18,19
0,1,.282,4,10,0,3
0,3,.450,13,40,6,8
3,14,.662,87,322,50,35
1,4,.494,11,40,6,7
1,41,.704,111,320,54,68
3,47,.671,135,472,47,65
0,23,.790,69,252,44,81
1,18,.621,50,129,13,55
0,0,.627,24,32,4,5
0,0,.333,2,6,0,3
0,0,--,3,0,0,0
0,24,.787,112,329,45,106
3,19,.612,72,230,23,43
4,51,.662,93,315,36,68
1,20,.704,75,225,32,37
0,1,.182,3,9,0,0
1,3,.382,15,55,7,15
6,20,.592,64,215,19,36
1,24,.831,83,323,45,59
2,32,.696,77,279,31,86
1,43,.814,110,406,50,114
1,0,.548,5,16,0,3
2,37,.693,87,278,33,63
1,20,1.053,53,181,26,38
3,6,.577,22,67,6,17
4,40,.829,139,553,90,112
0,0,1.250,2,8,0,1
3,56,.861,133,493,77,119
0,4,.506,38,103,8,35
1,22,.550,96,305,30,56
5,36,.909,82,329,54,43
2,48,.868,117,445,63,101
1,26,.564,74,219,27,43
0,1,.258,4,11,0,5
