POS,AB,R,H,BB,SH,SB,OBP,SF
1B,69,8,13,8,0,2,.273,0
RF,42,3,9,0,0,2,.233,0
2B,67,10,16,10,2,1,.342,1
SS,88,12,22,18,2,0,.374,1
1B,121,12,29,18,4,4,.336,1
1B,92,10,20,15,0,1,.333,0
SS,71,23,35,5,0,5,.532,1
1B,14,3,7,3,0,0,.611,0
C,14,2,1,6,0,2,.381,0
CF,119,26,36,5,0,2,.344,1
SS,141,28,41,15,0,15,.377,1
3B,37,6,9,3,0,0,.300,0
2B,30,5,9,6,1,0,.417,0
CF,92,18,23,11,1,8,.330,0
LF,90,15,19,11,2,2,.305,2
C,51,6,9,2,0,0,.236,0
CF,126,26,33,19,2,9,.356,1
2B,165,25,43,16,1,6,.328,3
SS,10,3,3,1,0,0,.364,0
OF,14,1,3,1,0,0,.313,0
2B,9,2,4,2,0,2,.500,1
RF,77,5,6,8,0,1,.193,0
CF,128,16,27,16,2,4,.318,0
OF,8,1,2,0,0,0,.222,1
CF,113,22,34,28,0,21,.441,1
RF,54,14,13,6,0,8,.328,0
2B,12,3,5,4,1,1,.563,0
CF,41,5,9,4,0,3,.283,1
LF,24,3,5,1,0,1,.231,1
2B,2,0,0,0,0,0,.000,0
3B,7,1,1,1,0,0,.250,0
OF,12,3,4,0,0,2,.333,0
SS,171,28,32,8,1,5,.224,3
1B,84,22,18,22,0,1,.382,2
1B,11,0,3,0,0,0,.273,0
C,175,19,36,13,2,0,.271,1
3B,151,25,44,6,0,2,.337,1
SS,30,6,4,10,0,1,.350,0
C,78,8,17,12,0,0,.330,0
2B,91,13,19,11,0,1,.305,1
CF,237,54,67,21,1,14,.345,3
C,116,18,37,16,0,4,.416,1
RF,104,16,21,9,0,8,.265,0
2B,147,23,33,16,5,6,.312,5
C,4,0,0,0,0,0,.000,0
DH,115,18,23,14,0,2,.282,2
P,0,0,0,0,0,0,--,0
OF,30,10,12,6,0,1,.500,0
3B,136,28,48,15,0,1,.419,2
RF,56,14,13,7,0,4,.323,1
C,103,16,29,5,0,1,.312,1
1B,181,34,53,16,0,10,.352,1
OF,127,24,31,18,3,8,.360,0
P,0,0,0,0,0,0,--,0
OF,7,2,0,3,0,0,.250,2
1B,100,19,31,11,0,0,.375,1
C,33,3,9,2,0,1,.314,0
CF,82,11,18,5,1,7,.281,0
1B,14,3,9,3,0,0,.706,0
SS,183,27,50,19,0,7,.341,2
2B,44,10,8,5,0,3,.265,0
LF,115,16,27,10,0,1,.289,3
CF,44,10,7,16,2,2,.383,0
2B,125,16,29,19,1,5,.349,1
P,0,0,0,0,0,0,--,0
C,109,16,28,3,0,3,.277,0
3B,122,13,21,12,0,2,.246,0
SS,156,20,41,8,4,13,.320,0
1B,102,16,33,12,0,1,.391,1
LF,131,26,24,23,0,6,.325,1
C,22,7,6,1,0,1,.360,0
LF,138,21,37,18,1,8,.370,1
LF,39,8,10,10,1,4,.408,0
OF,20,6,8,0,0,0,.429,0
RF,18,0,4,1,0,1,.263,0
C,37,5,5,3,0,0,.220,0
C,57,10,14,11,0,2,.371,1
SS,192,26,50,14,3,5,.314,2
1B,4,0,0,0,0,0,.000,0
C,51,3,8,1,0,0,.173,0
LF,22,5,8,3,0,0,.440,0
OF,17,3,9,0,0,1,.556,0
C,123,29,32,26,0,0,.384,2
RF,120,20,27,18,0,3,.356,1
C,167,29,47,40,0,8,.422,2
3B,66,15,17,10,1,8,.390,1
