Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jonathan Hee,PawPor,117,9,30,7,1,1,18,1,3,15,29,0.256,0.36,0.359,0.719
Kendrick Perkins,Low,68,13,19,2,1,1,10,1,0,4,30,0.279,0.333,0.382,0.716
Tzu-Wei Lin,GCL,73,19,18,4,1,0,12,3,1,13,16,0.247,0.352,0.329,0.681
Ronald Bermudez,PawPor,93,10,24,5,1,1,12,3,1,2,17,0.258,0.286,0.366,0.651
Keaton Briscoe,GCL,51,13,11,2,1,0,11,1,1,12,18,0.216,0.354,0.294,0.648
Felix Sanchez,Sal,79,9,20,3,1,0,9,17,2,5,25,0.253,0.326,0.316,0.642
Kolbrin Vitek,PorGCL,74,10,17,3,1,0,7,0,0,4,17,0.23,0.275,0.297,0.572
Osvaldo Almengo,DSL,62,8,11,2,1,1,9,0,0,6,21,0.177,0.268,0.29,0.558
Luis Valenzuela,DSL,22,3,3,0,1,0,3,0,0,4,2,0.136,0.269,0.227,0.497
Kevin Youkilis,Paw,4,1,2,2,0,0,1,0,0,3,0,0.5,0.714,1.0,1.714
Kevin Heller,LowGCL,30,11,10,4,0,2,4,0,1,6,6,0.333,0.444,0.667,1.111
Mike Rivera,Paw,69,5,28,4,0,3,14,1,0,4,11,0.406,0.455,0.594,1.049
Ivan De Jesus,Paw,22,5,10,1,0,0,0,1,0,2,3,0.455,0.5,0.5,1.0
Jesus Loya,GCL,16,3,7,2,0,0,3,2,0,0,1,0.438,0.438,0.563,1.0
Daniel Nava,Paw,59,15,19,4,0,3,12,1,0,10,8,0.322,0.444,0.542,0.987
David Chester,SalLow,89,17,26,3,0,8,23,1,0,12,22,0.292,0.369,0.596,0.964
Bryce Brentz,PawPor,236,42,79,20,0,12,50,5,2,20,65,0.335,0.388,0.572,0.96
Michael Almanzar,Sal,236,46,77,23,0,8,32,5,2,18,35,0.326,0.382,0.525,0.908
Ryan Lavarnway,Paw,183,38,58,12,0,7,31,1,0,26,34,0.317,0.407,0.497,0.904
Tim Roberson,Low,35,5,11,2,0,2,7,0,1,3,11,0.314,0.35,0.543,0.893
David Renfroe,SalGre,190,34,58,16,0,7,48,2,0,22,27,0.305,0.387,0.5,0.887
Mike Meyers,GCL,57,9,20,8,0,0,8,1,0,4,20,0.351,0.393,0.491,0.885
Zach Gentile,PorSal,67,15,23,8,0,0,15,0,1,7,9,0.343,0.421,0.463,0.884
Brandon Jacobs,Sal,217,37,66,15,0,10,38,14,6,21,56,0.304,0.369,0.512,0.88
Boss Moanaroa,Gre,158,33,47,11,0,3,30,1,0,42,57,0.297,0.439,0.424,0.863
