OPS,R,SB,OBP,AB,HR,Player
0.757,36,1,0.325,257,12,J Aguasvivas
0.463,10,2,0.246,101,1,A Moscat
0.277,1,0,0.2,13,0,W Santana
0.63,28,3,0.283,228,5,J Altagracia
0.571,32,6,0.358,179,0,C Soto
0.8,35,8,0.367,189,5,L Pimentel
0.681,28,1,0.347,186,1,A Alcantara
0.777,29,4,0.414,168,1,J Gomez
0.461,0,0,0.25,19,0,O Llapur
0.717,39,4,0.366,205,6,M Nuno
0.372,5,0,0.226,48,0,M Arias
0.478,14,1,0.272,165,1,J Urdaneta
0.868,32,2,0.375,223,10,R Nunez
0.839,32,7,0.389,178,1,S Vasquez
0.623,26,3,0.28,195,4,E De La Rosa
0.716,25,9,0.369,176,0,Y Astacio
0.837,34,5,0.397,166,5,A Hernandez
0.481,9,1,0.298,71,0,A De Oliveira
0.629,31,2,0.322,264,1,F Munoz
0.798,22,3,0.368,163,4,J De Leon
0.584,10,1,0.275,84,0,J Arias
0.549,22,9,0.321,180,1,E Wilson
0.477,13,0,0.298,67,0,S Carmona
0.937,30,1,0.413,191,4,A Sanchez
1.008,20,0,0.534,78,1,H Acuna
0.0,0,0,0.0,4,0,M Martinez
0.617,13,4,0.349,138,0,A Suriel
0.579,20,4,0.343,148,0,J Ugas
0.769,17,3,0.367,112,2,J Castillo
0.786,16,2,0.394,120,1,L Hernandez
0.656,9,3,0.333,96,1,E Ramos
0.55,15,0,0.276,113,3,C Urena
0.726,22,2,0.379,147,2,F Marine
