Date,TRB%,G,Opp,Age,ORB%,AST%,STL%
2008-03-24,0.0,44,DEN,27-005,0.0,0.0,0.0
2007-12-21,4.9,23,DET,26-277,0.0,0.0,0.0
2008-04-02,0.0,47,NYK,27-014,0.0,0.0,0.0
2007-11-13,4.5,6,HOU,26-239,0.0,0.0,0.0
2007-12-17,5.7,21,GSW,26-273,0.0,0.0,0.0
2007-10-31,7.7,1,SAS,26-226,0.0,0.0,3.4
2007-12-15,4.5,20,ORL,26-271,9.4,8.6,0.0
2008-04-11,10.0,50,MIA,27-023,5.2,0.0,0.0
2007-11-03,2.5,2,IND,26-229,0.0,0.0,0.0
2007-12-22,0.0,24,PHI,26-278,0.0,0.0,0.0
2007-11-14,13.9,7,MIL,26-240,0.0,0.0,0.0
2007-11-24,10.9,13,WAS,26-250,24.9,0.0,0.0
2007-12-01,0.0,16,MIN,26-257,0.0,0.0,7.1
2008-01-02,11.3,28,IND,26-289,0.0,0.0,0.0
2007-11-16,16.5,8,NOH,26-242,0.0,0.0,0.0
