AB,Team,SF,AVG,CS,HR
569,PHI,5,0.223,0,23
56,COL,3,0.232,0,2
47,PHI,0,0.277,0,1
288,LAD,2,0.34,1,7
91,WSH,0,0.231,0,4
397,PHI,1,0.252,1,10
63,COL,0,0.317,0,4
21,LAD,0,0.048,0,0
613,WSH,5,0.287,3,21
214,WSH,4,0.28,0,5
403,ARI,4,0.27,1,5
67,COL,0,0.343,0,0
595,STL,9,0.272,3,8
31,COL,0,0.226,0,2
48,CIN,0,0.188,0,0
73,SF,0,0.192,0,3
502,COL,8,0.319,3,17
398,PIT,0,0.231,3,18
22,ARI,0,0.273,0,2
214,SF,1,0.243,1,12
478,CHC,1,0.249,2,16
153,ARI,1,0.255,0,0
520,PIT,2,0.315,7,13
582,ATL,2,0.263,0,10
10,SD,0,0.2,0,0
39,PIT,0,0.179,0,0
240,SD,1,0.233,1,9
