Team,iFenwick,FirstA/60,Shots/60,Points/60,iCorsi,Player Name,A,GP,#
Ottawa,97,1.36,9.98,4.38,172,"KARLSSON, ERIK",23,99,39
Tampa Bay,49,1.25,8.78,3.01,70,"CARLE, MATT",9,130,52
San Jose,111,1.47,11.60,3.67,176,"BOYLE, DAN",19,121,22
Philadelphia,102,2.90,10.29,4.64,155,"TIMONEN, KIMMO",28,122,35
Philadelphia,63,0.61,7.67,2.02,100,"MACDONALD, ANDREW",7,130,64
Colorado,60,1.64,11.68,2.80,87,"JOHNSON, ERIK",10,111,21
Calgary,28,1.16,5.21,3.77,41,"RUSSELL, KRIS",8,101,72
Dallas,75,1.84,8.91,3.69,118,"GOLIGOSKI, ALEX",21,128,50
NY Rangers,53,1.01,10.13,2.53,80,"MCDONAGH, RYAN",8,124,37
Calgary,86,1.00,12.15,4.18,125,"GIORDANO, MARK",14,111,15
Winnipeg,41,0.55,5.49,3.29,72,"ENSTROM, TOBIAS",14,104,71
New Jersey,88,0.79,10.28,3.64,137,"ZIDLICKY, MAREK",15,129,36
St. Louis,54,1.90,8.53,4.03,80,"BOUWMEESTER, JAY",15,129,54
Dallas,60,1.41,8.09,4.04,98,"GONCHAR, SERGEI",21,121,60
Columbus,93,0.60,9.26,3.44,127,"JOHNSON, JACK",16,126,44
Nashville,131,1.20,13.19,5.39,176,"WEBER, SHEA",22,127,10
Nashville,71,1.38,9.17,2.94,104,"JOSI, ROMAN",15,120,46
Toronto,77,1.21,7.84,3.62,130,"PHANEUF, DION",21,128,61
Chicago,96,1.35,11.31,4.22,167,"KEITH, DUNCAN",20,126,26
Arizona,148,1.14,12.11,3.15,234,"EKMAN-LARSSON, OLIVER",17,128,16
Toronto,75,1.57,10.62,4.70,120,"FRANSON, CODY",24,124,34
Nashville,35,1.95,6.42,3.63,60,"DEL_ZOTTO, MICHAEL",12,113,68
Chicago,50,0.62,8.11,3.74,63,"LEDDY, NICK",12,130,59
Winnipeg,147,1.81,15.67,4.67,212,"BYFUGLIEN, DUSTIN",19,121,3
Carolina,70,0.24,13.83,1.94,103,"FAULK, JUSTIN",7,114,6
Calgary,37,1.55,6.45,3.10,67,"BRODIE, TJ",11,128,67
Colorado,52,0.76,11.08,2.01,69,"BENOIT, ANDRE",6,112,28
Colorado,47,0.74,8.16,2.97,64,"BARRIE, TYSON",9,96,57
Anaheim,52,0.56,10.86,2.51,79,"BEAUCHEMIN, FRANCOIS",7,118,31
St. Louis,104,1.43,12.75,4.62,160,"SHATTENKIRK, KEVIN",22,129,11
