Tm,Age,G
SAS,29-086,21
UTA,29-206,66
SAS,29-070,13
UTA,29-198,63
UTA,29-184,56
UTA,29-174,52
SAS,29-136,37
UTA,29-180,54
SAS,29-117,33
UTA,29-194,61
UTA,29-188,58
UTA,29-209,68
UTA,29-183,55
SAS,29-041,1
SAS,29-077,16
SAS,29-151,42
SAS,29-089,23
SAS,29-079,17
UTA,29-160,45
SAS,29-054,8
SAS,29-048,5
SAS,29-093,25
SAS,29-073,14
SAS,29-141,38
SAS,29-124,36
SAS,29-045,3
SAS,29-052,7
SAS,29-106,30
SAS,29-068,12
UTA,29-167,48
SAS,29-065,10
SAS,29-109,31
UTA,29-155,43
UTA,29-163,46
UTA,29-207,67
UTA,29-192,60
UTA,29-190,59
SAS,29-087,22
SAS,29-149,41
SAS,29-047,4
SAS,29-104,29
SAS,29-057,9
