MP,STL%,Tm,DRtg
14:50,0.0,CHI,116
18:26,0.0,CHI,96
23:21,0.0,CHI,105
22:21,0.0,CHI,93
3:01,0.0,CHI,114
21:48,5.0,CHI,91
23:24,0.0,CHI,110
22:35,0.0,CHI,129
12:21,0.0,CHI,110
4:04,0.0,CHI,110
1:31,0.0,CHI,110
11:53,0.0,CHI,109
22:50,2.4,CHI,117
3:50,0.0,CHI,119
8:33,0.0,CHI,106
8:02,0.0,CHI,105
31:50,3.2,CHI,91
20:02,0.0,CHI,119
4:30,0.0,CHI,121
27:00,3.7,CHI,87
15:21,0.0,CHI,121
10:14,0.0,CHI,98
21:34,0.0,CHI,98
6:13,0.0,CHI,101
3:24,0.0,CHI,107
17:22,5.9,CHI,100
16:26,0.0,CHI,102
2:22,0.0,CHI,114
