Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Bryce Brentz,Por,122,456,62,135,30,1,17,76,7,4,40,130,0.296,0.355,0.478,0.833
Jeremy Hazelbaker,Por,114,436,77,119,21,6,19,64,33,11,35,114,0.273,0.338,0.479,0.818
Derrik Gibson,Por,115,405,43,91,13,3,0,26,15,6,44,93,0.225,0.304,0.272,0.576
Reynaldo Rodriguez,Por,90,327,45,84,27,3,16,49,6,3,35,81,0.257,0.334,0.505,0.839
Marquez Smith,Por,71,280,43,82,22,1,8,37,2,0,23,52,0.293,0.35,0.464,0.815
J.C. Linares,Por,58,210,34,70,17,1,8,33,0,1,22,30,0.333,0.403,0.538,0.941
Ryan Dent,Por,83,266,39,63,6,0,3,22,4,2,29,60,0.237,0.313,0.293,0.607
Jackie Bradley,Por,61,229,37,62,16,2,6,29,8,2,35,49,0.271,0.373,0.437,0.809
Dan Butler,Por,73,247,29,62,14,2,6,26,0,0,31,42,0.251,0.351,0.397,0.748
Peter Hissey,Por,70,236,21,59,14,1,1,27,14,5,17,47,0.25,0.298,0.331,0.629
Oscar Tejeda,Por,51,202,18,53,12,0,5,31,2,1,9,41,0.262,0.294,0.396,0.69
Kolbrin Vitek,Por,46,186,14,45,13,1,1,10,0,0,10,47,0.242,0.284,0.339,0.623
Ronald Bermudez,Por,47,158,15,44,9,1,2,15,4,2,7,29,0.278,0.311,0.386,0.697
Matt Spring,Por,60,198,16,39,8,0,7,22,0,2,23,74,0.197,0.29,0.343,0.634
Zach Gentile,Por,41,133,16,32,7,0,0,15,3,1,11,19,0.241,0.311,0.293,0.604
Xander Bogaerts,Por,23,92,12,30,10,0,5,17,1,1,1,21,0.326,0.351,0.598,0.948
Travis Shaw,Por,31,110,13,25,13,0,3,12,1,1,21,34,0.227,0.353,0.427,0.781
Heiker Meneses,Por,41,127,12,25,1,1,1,10,1,3,13,33,0.197,0.282,0.244,0.526
Shannon Wilkerson,Por,24,91,8,24,5,0,0,6,3,0,5,16,0.264,0.309,0.319,0.628
Christian Vazquez,Por,20,73,11,15,4,0,0,5,0,0,8,9,0.205,0.28,0.26,0.541
Nick Natoli,Por,24,73,4,11,3,0,0,1,0,0,12,16,0.151,0.271,0.192,0.462
Drew Hedman,Por,22,71,8,9,3,0,4,7,0,0,9,28,0.127,0.241,0.338,0.579
