Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
VIVO,Meridian Biosci...,Johnson Marviette D.,"VP, Human Resources",2015-03-02,Sell,"1,917",$19.91,38.2,-9.14,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,Ellingwood Dwight E,Director,2015-01-23,Buy,"1,980",$17.74,35.1,1.97,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,ROLIH SUSAN,"EVP, Reg & Quality Systems",2014-12-01,Sell,"11,219",$16.46,184.7,9.9,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,EBERLY RICHARD,"EVP,Pres Meridian Life Science",2014-11-24,Sell,"4,539",$16.07,72.9,12.57,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,Ellingwood Dwight E,Director,2014-11-21,Buy,"1,000",$16.08,16.1,12.5,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,KRAEUTLER JOHN A,Chairman and CEO (Click for the stocks that their CEOs have bought),2014-11-18,Sell,"10,500",$16.2,170.1,11.67,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,LUEKE MELISSA,"Exec VP, CFO",2014-11-18,Sell,"6,713",$16.2,108.8,11.67,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,PHILLIPS DAVID,Director,2014-11-11,Buy,"10,000",$16.89,168.9,7.1,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,READY ROBERT J,Director,2014-06-13,Sell,"2,700",$20.03,54.1,-9.69,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,Elagin Vecheslav A,"EVP, Research & Development",2013-12-05,Sell,"4,141",$23.74,98.3,-23.8,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,ROLIH SUSAN,"EVP, Reg & Quality Systems",2013-11-22,Sell,"9,086",$24.18,219.7,-25.19,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,EBERLY RICHARD,"EVP,Pres Meridian Life Science",2013-11-21,Sell,"4,926",$24.5,120.7,-26.16,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,BALDINI LAWRENCE,"Exec VP, Operations & IS",2013-11-19,Sell,"4,926",$24.26,119.5,-25.43,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,KRAEUTLER JOHN A,CEO,2013-11-11,Sell,"5,250",$25.27,132.7,-28.41,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,BALDINI LAWRENCE,"Exec VP, Operations & IS",2013-07-26,Sell,"32,000",$24.14,772.5,-25.06,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,Calzavara Marco G.,"Pres & Managing Director, MBE",2013-05-30,Sell,"3,200",$21.81,69.8,-17.06,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,KRAEUTLER JOHN A,CEO,2013-05-01,Buy,"5,000",$19.63,98.2,-7.85,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,READY ROBERT J,Director,2013-03-11,Sell,"5,000",$21.69,108.5,-16.6,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,MOTTO WILLIAM J,Executive Chairman,2013-03-05,Sell,"2,500",$21.59,54.0,-16.21,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,LUEKE MELISSA,"Exec VP, CFO",2012-12-14,Sell,"21,000",$19.84,416.6,-8.82,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,EBERLY RICHARD,"EVP,Pres Meridian Life Science",2012-12-11,Sell,"31,500",$20.47,644.8,-11.63,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,MOTTO WILLIAM J,Executive Chairman,2012-12-06,Sell,"17,250",$20.35,351.0,-11.11,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,READY ROBERT J,Director,2012-12-05,Sell,"6,000",$20.29,121.7,-10.84,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,READY ROBERT J,Director,2012-12-05,Sell,"6,000",$20.29,121.7,-10.84,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,BALDINI LAWRENCE,"Exec VP, Operations & IS",2012-12-03,Sell,"32,500",$20,650.0,-9.55,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,READY ROBERT J,Director,2012-11-13,Sell,"1,800",$19.46,35.0,-7.04,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,MOTTO WILLIAM J,Executive Chairman,2012-09-10,Sell,"7,988",$18.34,146.5,-1.36,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,MOTTO WILLIAM J,Executive Chairman,2012-06-06,Sell,"3,000",$19.5,58.5,-7.23,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,MOTTO WILLIAM J,Executive Chairman,2012-01-04,Sell,"2,000",$18.95,37.9,-4.54,4.42,21.58,754.606,Link
VIVO,Meridian Biosci...,PHILLIPS DAVID,Director,2011-11-11,Buy,"5,000",$18.38,91.9,-1.58,4.42,21.58,754.606,Link
