GIDP,Team,OBP,3B,AB,HR,SO
1,CUL,.436,0,46,3,10
7,HER,.345,1,234,3,41
2,NAV,.323,0,56,0,20
3,MAZ,.361,0,33,0,9
0,HER,.000,0,3,0,1
7,HER,.353,0,176,0,14
0,MXC,.300,0,17,0,4
4,GSV,.264,3,112,4,30
2,MOC,.390,0,63,2,16
3,MAZ,.341,0,65,4,13
14,NAV,.302,0,194,2,23
1,CUL,.385,0,224,19,87
0,MOC,.270,0,31,0,10
6,MAZ,.308,1,229,5,35
8,OBR,.430,0,244,17,35
4,GSV,.425,0,244,10,39
3,NAV,.339,0,106,1,26
5,MXC,.354,0,104,7,12
4,NAV,.415,0,265,1,26
1,OBR,.270,0,60,1,15
0,MXC,--,0,0,0,0
2,NAV,.277,0,62,0,13
0,CUL,.270,0,94,5,29
0,MAZ,.392,0,67,1,12
1,MXC,.217,0,22,0,3
4,MOC,.319,0,172,2,44
0,OBR,.273,0,10,0,4
0,MAZ,.244,0,39,0,9
1,HER,.320,0,44,1,14
0,MXC,.374,0,107,2,19
3,NAV,.364,1,155,3,42
6,GSV,.380,1,238,17,60
9,GSV,.365,0,237,3,26
3,MAZ,.262,0,57,3,15
5,MOC,.310,0,156,5,25
2,CUL,.351,0,62,3,13
2,CUL,.416,0,66,4,22
1,MAZ,.313,0,25,0,5
0,NAV,.366,0,69,1,19
0,GSV,.083,0,11,0,2
1,GSV,.286,0,23,1,12
6,OBR,.281,0,236,17,51
3,MOC,.421,0,228,17,57
5,MAZ,.287,2,170,9,48
0,MOC,.391,3,106,0,23
4,NAV,.131,0,60,1,14
0,HER,.333,0,15,0,6
2,HER,.263,0,72,3,13
3,CUL,.394,0,220,16,57
5,GSV,.399,0,205,17,47
0,HER,.200,0,5,0,2
0,HER,.263,0,18,0,5
0,HER,.000,0,4,0,1
11,MOC,.375,0,210,12,57
4,MAZ,.274,0,57,0,8
2,MAZ,.339,0,147,2,19
0,MXC,--,0,0,0,0
1,OBR,.241,0,81,0,18
7,MOC,.357,1,186,14,35
6,CUL,.355,2,225,10,57
7,MOC,.404,0,191,1,27
4,NAV,.358,2,60,0,7
10,GSV,.311,1,269,9,47
3,MOC,.333,0,166,0,24
1,MXC,.348,1,125,7,36
0,MOC,.125,0,7,0,1
8,OBR,.372,0,249,4,47
2,CUL,.404,1,211,6,38
2,NAV,.363,0,104,1,20
6,HER,.367,0,173,5,39
10,MXC,.322,0,181,2,24
8,HER,.338,0,265,20,35
13,MAZ,.362,2,242,2,25
