Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
E Chavez,DIA,3B,.143,3,7,1,1,0,0,1,2,0,0,0,0,0,1,2,.125,.571,0.696
W Bloomquist,DIA,2B,.500,4,12,4,6,1,0,0,1,2,1,0,0,0,0,1,.571,.583,1.155
D DeJesus,CUB,CF,.333,4,12,4,4,2,0,0,0,2,3,1,0,0,0,1,.429,.500,0.929
A Pagan,GIA,CF,.182,4,11,3,2,0,1,0,0,2,0,0,0,0,0,0,.308,.364,0.671
L Hernandez,IND,2B,.158,5,19,1,3,1,0,0,2,3,4,0,0,0,1,1,.261,.211,0.471
R Sweeney,CUB,RF,.286,4,14,4,4,2,0,0,2,3,1,0,0,0,0,1,.412,.429,0.84
T Gwynn Jr.,DOD,LF,.182,3,11,2,2,1,0,0,2,0,1,2,0,1,1,0,.167,.273,0.439
M Owings,BRE,OF,.222,4,9,1,2,2,0,0,0,1,4,0,0,0,0,0,.300,.444,0.744
J Dunigan,MAR,OF,.333,10,30,6,10,1,1,4,9,0,11,0,0,0,0,0,.333,.833,1.167
M LaPorta,IND,1B,.293,13,41,9,12,4,0,4,12,9,10,0,0,0,2,0,.404,.683,1.087
B Bogusevic,CUB,LF,.400,7,25,7,10,4,1,0,5,7,5,3,0,0,0,0,.531,.640,1.171
M Montero,DIA,C,.263,6,19,2,5,2,0,0,4,4,4,0,0,0,0,2,.391,.368,0.76
L Valbuena,CUB,3B,.714,2,7,2,5,2,0,0,3,1,1,1,0,0,0,0,.750,1.000,1.75
D Cooper,IND,1B,.440,6,25,4,11,3,0,0,5,2,1,0,0,0,0,0,.481,.560,1.041
G Miclat,RAN,SS,.462,4,13,3,6,1,0,0,2,2,0,2,0,0,0,0,.533,.538,1.072
A Contreras,PAD,SS,.083,4,12,2,1,0,0,0,0,1,4,0,0,0,0,1,.154,.083,0.237
J Moore,DOD,LF,.273,3,11,4,3,2,0,0,1,1,3,0,0,0,0,0,.333,.455,0.788
J Sucre,MAR,C,.316,6,19,1,6,1,0,0,3,1,2,0,0,0,0,0,.350,.368,0.718
