iCorsi/60,GP,Shots/60,FirstA,iFenwick,TOI
15.74,96,7.42,5,48,266:47
12.76,137,6.26,8,35,258:36
19.84,145,11.24,12,111,432:28
16.60,162,9.20,10,79,397:38
17.48,156,9.52,10,107,497:46
29.03,156,15.26,12,178,479:32
16.92,159,7.97,21,120,609:51
19.48,157,10.22,10,125,499:05
24.87,162,15.34,16,174,496:54
10.94,156,7.66,5,57,328:58
16.91,152,11.80,9,92,376:10
33.92,156,16.25,7,228,590:47
16.51,147,11.79,8,114,432:27
14.22,148,8.14,8,110,523:09
14.63,163,8.72,5,91,426:31
25.73,63,13.29,5,92,284:29
15.74,138,8.22,8,67,343:05
16.68,122,13.07,6,95,349:00
14.22,135,6.92,8,50,320:45
9.02,132,5.09,3,31,259:29
17.96,158,9.72,10,94,444:14
22.24,154,12.24,13,150,509:58
23.17,133,14.98,9,117,380:37
16.93,162,9.86,5,86,364:57
31.74,115,12.50,3,106,311:54
14.37,111,9.46,7,68,342:25
17.12,159,11.46,7,125,476:35
14.41,153,6.70,4,57,295:43
19.05,116,10.17,5,84,324:27
15.41,162,8.59,20,101,510:09
13.40,139,9.32,6,81,411:51
23.39,159,13.30,12,170,523:19
13.47,154,7.70,8,64,374:12
9.51,161,5.97,2,50,321:50
23.81,164,11.63,10,144,541:53
12.40,164,6.42,24,88,551:25
29.90,155,17.63,15,215,503:43
22.43,129,13.05,9,134,441:17
20.32,164,10.93,8,101,351:25
23.11,164,11.87,15,159,566:05
19.16,159,9.24,22,125,526:13
15.16,143,7.74,10,74,364:07
18.18,161,9.76,12,90,399:27
12.24,116,5.68,5,42,274:35
20.74,156,12.72,8,133,471:33
15.51,130,9.26,4,51,259:07
18.66,151,11.52,8,81,328:02
21.25,142,12.40,2,81,271:03
8.74,160,6.97,9,56,404:52
29.30,135,18.43,4,154,380:51
20.43,113,11.41,2,85,299:38
13.51,152,7.31,8,50,270:50
16.86,143,9.42,5,92,362:59
25.35,162,13.53,17,163,492:23
28.59,129,14.68,14,98,314:46
23.90,155,11.47,11,122,434:15
24.17,151,13.12,10,153,493:54
12.08,153,6.92,7,55,372:40
20.57,162,14.20,17,153,528:03
14.96,148,7.48,11,79,417:07
16.05,143,10.00,2,58,257:54
26.50,164,13.49,10,209,631:35
14.66,150,8.26,7,53,290:36
20.74,161,12.64,19,134,503:21
11.35,155,5.75,4,65,417:28
25.09,161,11.54,7,126,447:14
19.71,161,11.33,2,74,264:53
23.42,115,11.62,9,81,320:15
21.68,145,11.13,4,83,307:16
19.81,164,12.73,9,141,499:42
17.57,118,9.81,9,64,293:38
14.55,154,7.27,4,66,354:44
26.20,159,14.95,13,125,373:15
