Date,Opponent,Score,hbp,sf,sh,tb,xbh,hdp,go,fo,go/fo,pa
Mar 5,at Merchant Marine,"W, 6-1",-,-,-,-,-,-,-,-,-,-
Mar 8,Brockport St.,"W, 9-8",-,-,-,-,-,-,-,-,-,-
Mar 8,Eastern Connecticut,"L, 11-2",-,-,-,1,0,-,-,1,-,3
Mar 9,Plattsburgh St.,"W, 12-3",-,-,-,0,0,-,-,-,-,0
Mar 9,Plattsburgh St.,"W, 2-0",-,-,-,-,-,-,-,-,-,-
Mar 11,Wm. Paterson,"W, 16-7",-,-,-,-,-,-,-,-,-,-
Mar 14,vs. Marietta,"W, 2-1",-,-,-,-,-,-,-,-,-,-
Mar 15,vs. Baldwin Wallace,"L, 13-8",-,-,-,-,-,-,-,-,-,-
Mar 16,vs. Mansfield,"L, 11-5",1,-,-,1,0,-,1,-,-,4
Mar 16,vs. New Paltz St.,"W, 7-5",-,-,-,-,-,-,-,-,-,-
Mar 17,vs. Nichols,"W, 7-6",-,-,-,-,-,-,-,-,-,-
Mar 22,Maritime,"W, 14-5",-,-,-,-,-,-,-,-,-,-
Mar 22,Maritime,"W, 4-3",-,-,-,-,-,-,-,-,-,-
Mar 29,at Mount Saint Vincent,"L, 4-1",-,-,-,-,-,-,-,-,-,-
Apr 1,at Ramapo,"L, 13-2",-,-,-,-,-,-,-,-,-,-
Apr 4,Yeshiva,"W, 14-0",-,-,-,0,0,-,-,-,-,0
Apr 4,Yeshiva,"W, 24-0",-,-,-,3,0,-,-,-,-,4
Apr 5,at Mount Saint Mary,"L, 6-5",-,-,-,-,-,-,-,-,-,-
Apr 5,at Mount Saint Mary,"L, 3-1",-,-,-,-,-,-,-,-,-,-
Apr 9,at Hofstra,"L, 13-0",-,-,-,0,0,-,-,1,-,1
Apr 10,Baruch,"W, 11-4",-,-,-,0,0,-,-,-,-,0
Apr 12,at NYU-Poly,"W, 19-6",-,-,-,-,-,-,-,-,-,-
Apr 12,at NYU-Poly,"W, 19-8",-,-,-,-,-,-,-,-,-,-
Apr 13,Old Westbury,"W, 6-5",-,-,-,-,-,-,-,-,-,-
Apr 13,Old Westbury,"L, 5-4",-,-,-,-,-,-,-,-,-,-
Apr 17,Staten Island,"W, 8-2",-,-,-,0,0,-,1,-,-,1
Apr 18,at Purchase,"L, 3-2",-,-,-,-,-,-,-,-,-,-
Apr 18,at Purchase,"W, 2-1",-,-,-,-,-,-,-,-,-,-
Apr 25,at Mount Saint Vincent,"W, 4-2",-,-,-,-,-,-,-,-,-,-
Apr 26,St. Joseph's,"W, 6-5",-,-,-,-,-,-,-,-,-,-
Apr 26,St. Joseph's,"W, 5-4",1,-,-,2,1,-,-,-,-,2
May 1,Mount Saint Vincent,"W, 14-0",-,-,-,0,0,-,-,-,-,0
May 2,at Purchase,"W, 7-1",-,-,-,-,-,-,-,-,-,-
May 3,Old Westbury,"W, 10-9",-,-,-,-,-,-,-,-,-,-
May 4,at Old Westbury,"W, 5-2",-,-,-,-,-,-,-,-,-,-
May 10,at Kean,"L, 10-1",-,-,1,0,0,-,1,-,-,1
May 14,vs. Rutgers-Camden,"W, 4-2",-,-,-,-,-,-,-,-,-,-
May 15,vs. Cortland State,"L, 14-5",-,-,-,0,0,-,-,-,-,1
May 17,vs. Stevens,"W, 6-2",-,-,-,-,-,-,-,-,-,-
May 17,vs. Kean,"L, 6-5",-,-,-,-,-,-,-,-,-,-
