Games,Age,City,Sport,Team,NOC,Phase,Unit,Rank,Date,Result,G
1972 Summer,20,München,Water Polo,Canada,CAN,Group A,Match #1,2,1972-08-27,"YUG 12, CAN 4",0
1972 Summer,20,München,Water Polo,Canada,CAN,Group A,Match #5,2,1972-08-28,"MEX 7, CAN 3",0
1972 Summer,20,München,Water Polo,Canada,CAN,Group A,Match #7,2,1972-08-29,"USA 8, CAN 1",0
1972 Summer,20,München,Water Polo,Canada,CAN,Group A,Match #11,2,1972-08-30,"ROU 16, CAN 4",0
1972 Summer,20,München,Water Polo,Canada,CAN,Group A,Match #13,2,1972-08-31,"CUB 7, CAN 2",0
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Classification Round 7-12,Match #2,1,1976-07-22,"CAN 4, AUS 3",0
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Classification Round 7-12,Match #4,2,1976-07-23,"CUB 7, CAN 5",1
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Classification Round 7-12,Match #7,1,1976-07-24,"CAN 8, IRI 1",0
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Classification Round 7-12,Match #10,1T,1976-07-26,"URS 6, CAN 6",0
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Classification Round 7-12,Match #15,1T,1976-07-27,"MEX 4, CAN 4",1
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Group C,Match #2,2,1976-07-18,"FRG 5, CAN 0",0
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Group C,Match #3,2,1976-07-19,"HUN 4, CAN 2",0
1976 Summer,24,Montréal,Water Polo,Canada,CAN,Group C,Match #5,1,1976-07-20,"CAN 6, AUS 5",0
