Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jason Repko,PawGre,54,200,35,46,6,5,8,28,5,3,21,50,0.23,0.313,0.43,0.743
Ryan Dent,PawPor,88,280,41,66,7,0,3,23,4,2,31,65,0.236,0.313,0.293,0.606
Mike Rivera,Paw,43,140,7,35,5,0,3,18,1,0,8,35,0.25,0.312,0.35,0.662
Jose Vinicio,GreLow,72,264,37,71,9,3,3,32,24,11,13,58,0.269,0.311,0.36,0.671
Dreily Guerrero,GreLow,59,219,24,56,10,0,0,20,11,5,18,65,0.256,0.311,0.301,0.613
Matthew Marquis,3 Teams,79,263,28,58,10,3,4,27,7,2,28,102,0.221,0.31,0.327,0.637
Lucas LeBlanc,SalGre,74,246,32,57,14,1,3,24,3,7,19,64,0.232,0.309,0.333,0.643
Tony Thomas,Paw,68,223,35,54,10,2,10,30,12,1,22,64,0.242,0.308,0.439,0.747
Jordan Weems,Gre,86,298,33,60,11,0,0,29,4,1,44,87,0.201,0.308,0.238,0.546
Blake Swihart,Gre,92,344,44,90,17,4,7,53,6,2,26,68,0.262,0.307,0.395,0.702
Shannon Wilkerson,PorSal,124,477,58,128,24,5,4,48,32,8,25,88,0.268,0.304,0.365,0.669
Derrik Gibson,Por,115,405,43,91,13,3,0,26,15,6,44,93,0.225,0.304,0.272,0.576
Josh Kroeger,Paw,64,238,34,58,17,0,9,25,1,5,22,43,0.244,0.303,0.429,0.732
Heiker Meneses,PorSal,103,377,47,93,17,5,3,42,18,13,22,88,0.247,0.302,0.342,0.645
Carson Blair,Sal,51,165,25,34,11,3,3,24,2,3,21,48,0.206,0.298,0.364,0.662
Peter Hissey,Por,70,236,21,59,14,1,1,27,14,5,17,47,0.25,0.298,0.331,0.629
Oscar Tejeda,Por,51,202,18,53,12,0,5,31,2,1,9,41,0.262,0.294,0.396,0.69
J.T. Watkins,Low,17,45,4,9,1,0,1,4,0,1,3,13,0.2,0.294,0.289,0.583
Matt Spring,PawPor,62,207,17,42,9,0,7,23,1,2,23,78,0.203,0.292,0.348,0.64
Jacoby Ellsbury,3 Teams,8,27,5,5,2,0,1,3,0,0,4,5,0.185,0.29,0.37,0.661
Ronald Bermudez,PawPor,64,201,20,51,10,2,2,17,5,2,9,40,0.254,0.29,0.353,0.643
Kolbrin Vitek,3 Teams,52,205,19,50,15,1,1,13,0,0,12,49,0.244,0.288,0.341,0.629
Keaton Briscoe,GCL,33,100,18,16,2,1,0,14,3,1,19,40,0.16,0.287,0.2,0.487
Iseha Conklin,GCL,38,112,13,23,5,1,1,13,2,1,8,44,0.205,0.283,0.295,0.578
Kevin Mager,LowGCL,35,127,7,26,6,1,0,17,0,1,9,25,0.205,0.279,0.268,0.546
