SLG,OBP,OPS,SH,Player,GIDP,RBI,2B,SO
.347,.324,.671,1,R Skube,2,12,7,20
.372,.341,.713,0,T Nam,3,24,6,40
.235,.325,.559,2,A Muenster,2,12,2,21
.364,.380,.744,0,S Burruel,1,14,2,26
.599,.396,.994,0,H Moreno,4,32,22,39
.367,.257,.625,0,D Harrington,2,17,7,19
.250,.350,.600,0,Y Cabrera,0,0,1,5
.429,.400,.829,0,J Roof,0,2,1,3
.301,.309,.610,2,A Aguilar,1,9,2,16
.667,.545,1.212,0,R Royster,0,3,6,5
.176,.194,.371,0,A Puello,2,3,1,4
.389,.350,.739,0,J Burgess,0,1,2,10
.359,.300,.659,3,A Siliga,3,12,7,37
.125,.118,.243,0,J Echevarria,0,2,1,7
.422,.357,.778,3,T Martinez,5,22,14,25
.250,.381,.631,0,T Buck,0,4,1,4
.358,.312,.669,0,D Geiger,7,15,9,25
.347,.233,.580,0,Y Brazoban,4,9,6,25
.231,.375,.606,0,C Lewis,2,3,0,5
.333,.286,.619,0,B Nicholas,0,3,1,1
.000,.111,.111,0,P Baez,0,1,0,1
.179,.235,.414,0,N Nordgren,0,3,1,7
.315,.281,.596,0,J De La Cruz,6,12,5,23
.700,.700,1.400,0,P LePage,0,0,0,0
.583,.467,1.050,0,N Van Stratten,0,1,3,2
.357,.394,.751,0,J Skole,0,5,2,5
.375,.333,.708,1,D Lopez,0,11,1,14
.538,.354,.892,1,D Vidal,2,34,13,30
.403,.319,.722,1,M Ray,0,6,3,26
.289,.297,.586,3,J Santana,6,17,7,40
.384,.404,.788,1,B Guinn,0,8,5,28
.571,.400,.971,0,D Thomas,0,4,0,7
.363,.313,.676,3,J Baldwin,0,22,6,60
.667,.455,1.121,0,D Burkhart,0,3,1,6
.475,.383,.858,1,A Giansanti,1,19,2,13
.200,.200,.400,0,D Ethier,0,2,0,1
.321,.325,.646,1,G Mitchell,0,13,4,59
.338,.351,.689,0,J McAloose,4,20,9,46
.292,.280,.572,2,K Dhanani,1,8,2,15
.364,.335,.699,1,M Walla,1,21,8,59
.550,.415,.965,0,R Cuneo,0,21,9,33
.300,.250,.550,0,M Brown,0,2,1,3
.313,.243,.557,0,A Monsalve,2,18,8,52
.118,.182,.299,2,M Turner,2,5,0,22
.371,.322,.693,2,J Silva,1,24,6,48
.400,.412,.812,0,R Golden,0,1,1,7
.487,.406,.893,0,R Consigli,2,31,12,33
.412,.342,.754,0,C Cuthbert,1,5,3,19
.188,.192,.380,1,E Soto,1,2,1,22
.141,.321,.462,3,A Marquez,2,3,0,17
.182,.197,.379,0,R Ramsey,0,4,0,20
.360,.315,.675,1,A Velazquez,2,12,7,28
.305,.294,.599,1,J Eshleman,1,7,3,18
.118,.118,.235,0,A Shipman,0,2,0,6
.429,.350,.779,0,J Rife,0,12,4,22
.350,.348,.698,0,S Furmanek,0,1,2,5
.330,.387,.717,0,W Darvill,2,7,3,21
.429,.375,.804,0,M Downs,0,2,1,1
.494,.379,.873,2,R Torreyes,1,11,7,5
.417,.333,.750,0,T Delmonico,1,2,2,5
.387,.324,.711,1,D Shaw,3,15,4,18
.460,.312,.771,0,J Staley,3,25,9,35
.590,.427,1.017,1,J Matthews,2,22,5,38
.000,.125,.125,0,R Wagner,0,1,0,2
.291,.252,.544,0,J Peralta,3,8,5,38
.336,.316,.652,2,J Rodriguez,0,17,2,29
.274,.256,.530,2,J Martinez,3,21,5,41
.500,.333,.833,0,N Cuevas,0,0,1,2
.483,.321,.804,0,J Romero,2,14,10,67
.362,.359,.721,1,C Adamson,2,19,7,34
.338,.308,.646,0,J Javier,2,11,2,16
.308,.259,.567,0,B Altman,1,9,2,20
.382,.325,.707,1,J Taylor,2,3,1,9
.200,.198,.398,3,J Blanco,1,8,4,36
.571,.375,.946,0,B May,0,1,2,2
.444,.364,.808,0,Y Carter,0,4,1,1
.500,.548,1.048,0,N Recknagel,0,0,3,7
.417,.379,.796,0,S Cilladi,1,3,0,7
.667,.550,1.217,0,V DiFazio,0,2,1,6
.280,.297,.577,0,R Rangel,2,10,2,31
.435,.346,.781,0,J Tripp,0,7,3,16
.190,.091,.281,0,M Fuentes,0,1,0,8
.308,.333,.641,0,D Baird,1,0,1,2
.000,.000,.000,0,B Johnson,0,0,0,2
.333,.286,.619,0,C Lara,0,1,1,2
.267,.276,.543,0,J Bivens,2,9,3,21
.545,.615,1.161,0,E Chavez,0,1,0,0
.444,.583,1.028,0,L Washington,1,3,0,1
.260,.278,.538,0,R Bolden,2,16,1,68
.456,.321,.777,2,Y Alcantara,1,22,8,49
.429,.297,.726,0,M Antonio,7,12,14,31
.333,.316,.649,0,S Conner,0,4,1,6
.404,.400,.804,0,J Paciorek,1,8,3,16
.344,.336,.681,0,D Tate,2,10,5,41
.422,.333,.756,0,D Poulk,2,10,9,20
.257,.243,.500,0,Y Rivera,8,23,8,72
.361,.364,.725,0,D Sandford,0,9,4,36
.275,.262,.537,0,M Stokes,4,18,6,38
.571,.444,1.016,0,D Stoneburner,0,1,0,2
.378,.293,.671,1,Y Lopez,0,26,7,56
.333,.383,.716,0,C Mirabal,7,21,5,21
.422,.339,.761,3,R Soto,0,14,7,27
.500,.400,.900,1,M Murray,0,6,3,3
.541,.459,1.000,0,J Choi,3,23,15,30
.420,.395,.815,1,C Vitale,3,14,4,10
.482,.328,.810,0,D Hernandez,1,14,2,18
.487,.366,.853,0,J Whitaker,0,4,6,7
.533,.412,.945,0,A Burg,0,2,3,1
.273,.284,.557,2,L Thompson,3,4,4,20
.208,.261,.469,0,J Martinez,3,9,4,48
.304,.263,.568,1,R Rodriguez,1,6,3,34
.056,.227,.283,1,C Bisson,1,0,0,4
.283,.373,.655,0,M Kirkland,0,6,2,14
.200,.200,.400,0,A Lavisky,0,0,0,7
.253,.296,.549,0,B Springfield,3,4,2,24
.500,.467,.967,0,E Carrera,0,4,1,2
.200,.280,.480,0,J Shin,4,11,3,49
.484,.351,.836,1,M Combs,0,9,7,23
.293,.324,.617,0,B Brett,1,6,3,28
.312,.336,.648,1,J Vazquez,0,6,6,27
.148,.200,.348,1,M Liberto,0,0,1,2
1.000,1.000,2.000,0,B Pardo,0,0,0,0
.167,.286,.452,0,J Christian,0,0,0,5
.000,.091,.091,0,M Collins,0,1,0,3
.313,.325,.638,0,A Hernandez,2,11,3,28
.211,.273,.483,0,M Brown,1,0,1,8
.405,.380,.785,1,T Meiners,2,15,5,16
.230,.286,.515,0,J Galarraga,0,5,2,18
.438,.363,.800,0,D Garce,1,16,6,27
.406,.358,.764,0,J Acevedo,2,14,8,31
.182,.313,.494,0,E Prasch,0,2,0,3
.286,.237,.523,0,S Felix,0,4,2,6
.432,.372,.804,6,C Willoughby,3,24,9,36
.522,.304,.826,0,C Rodriguez,0,2,3,5
.333,.265,.598,1,M Marte,6,27,9,73
.416,.409,.825,0,S Hunt,3,10,6,22
.700,.538,1.238,0,J Fields,0,4,1,2
.143,.250,.393,0,M Drowne,0,1,0,2
.222,.290,.513,0,M Camarena,0,1,1,12
.143,.333,.476,0,R Pineda,1,0,0,6
.394,.368,.761,0,J Rogers,3,32,7,32
.327,.372,.699,0,P Chen,4,17,4,19
.296,.282,.578,2,R Haney,2,10,2,11
.256,.250,.506,0,J Payano,1,2,0,17
.525,.330,.855,1,R Maddox,6,46,15,30
.410,.342,.752,1,W Hobson,3,17,6,24
.287,.226,.513,1,D McKelvie,0,8,4,60
.438,.412,.849,0,J Dore,0,2,1,4
.280,.333,.613,0,J Greene,0,6,0,6
.340,.293,.633,2,C Conner,1,16,4,58
.000,.000,.000,0,C Tracy,0,0,0,1
--,--,--,0,E Alfonzo,0,0,0,0
.350,.363,.712,6,L Sardinas,2,8,4,15
.495,.342,.837,0,C Gilmore,4,16,7,38
.407,.355,.762,0,R Brayton,0,6,1,9
.594,.416,1.010,0,S Windster,2,19,11,28
.389,.345,.735,5,K Allison,0,28,11,46
.000,.000,.000,0,J Sneed,0,0,0,1
.179,.212,.390,3,B Brito,0,6,1,69
.252,.241,.494,0,J Akins,3,8,3,35
.445,.331,.776,0,C Garcia,3,26,11,43
.611,.591,1.202,0,L Garcia,0,2,2,4
.407,.325,.733,2,T Lindsey,3,18,12,33
.320,.379,.699,0,R Eigsti,1,2,1,3
.208,.214,.423,0,D Webb,0,3,0,6
.229,.298,.527,0,A Shaw,0,4,1,21
.528,.390,.918,0,S Costa,0,6,3,5
.344,.361,.704,2,V Bieneme,1,12,2,47
.750,.750,1.500,0,M Rojas,0,1,0,0
.288,.298,.587,2,Y Gonzalez,6,9,5,12
.286,.328,.613,1,R Garcia,5,20,6,41
.273,.275,.548,4,E Garcia,3,9,3,28
.421,.394,.815,2,O Herrera,3,31,7,27
.385,.286,.670,0,B Fowler,0,4,1,11
.000,.000,.000,0,T Hall,0,1,0,0
.319,.341,.661,6,C Ramirez,0,12,10,30
.378,.377,.755,0,M Browning,2,8,3,7
.321,.394,.715,0,Y Grandal,0,1,1,4
.342,.271,.613,1,J Bonifacio,1,6,0,31
.291,.349,.640,2,J Deberry,0,3,2,17
.479,.471,.950,1,N Shaw,1,19,13,31
.394,.360,.754,1,D Lopez,2,12,11,39
.294,.381,.675,1,G Barber,1,1,1,7
.513,.354,.867,0,T Roberts,5,23,17,30
