Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
ANTONSEN Christer,NOR,M,08DEN01,0.0,0.0,41.4,1991.0,L,1.0,08/03/2008,1.0,DENAAVK,0.255,51.0
 , , , , , , , , , , , , , , 
ANTONSEN Christer,NOR,M,08DEN01,0.0,0.0,45.2,1991.0,L,2.0,08/03/2008,1.0,DENAAVK,0.255,51.0
 , , , , , , , , , , , , , , 
ANTONSEN Christer,NOR,M,08EAME01,0.0,0.0,44.3,1991.0,L,1.0,08/10/2008,11.0,ITA0701,0.255,51.0
 , , , , , , , , , , , , , , 
ANTONSEN Christer,NOR,M,08EAME01,0.0,0.0,43.1,1991.0,L,2.0,08/10/2008,11.0,ITA0701,0.255,51.0
 , , , , , , , , , , , , , , 
ANTONSEN Christer,NOR,M,09IWSF00,0.0,0.0,43.9,1991.0,R,1.0,01/11/2009,18.0,PER001,0.255,51.0
 , , , , , , , , , , , , , , 
ANTONSEN Christer,NOR,M,08SWE24,0.0,0.0,40.9,1991.0,L,2.0,07/13/2008,3.0,SWE0413,0.255,51.0
