GS,DRtg,TOV%,Opp,Tm
0,84,0.0,PHO,SEA
0,115, ,UTA,SEA
0,108,0.0,GSW,SEA
0,124,0.0,UTA,SEA
0,102, ,PHI,SEA
0,113,0.0,DET,SEA
0,120,50.0,TOR,SEA
0,119,50.0,ATL,SEA
0,103,33.3,DEN,SEA
0,120,0.0,DEN,SEA
0,120,50.0,CHI,SEA
0,103,100.0,LAC,SEA
0,114,20.0,NJN,SEA
0,127,33.3,LAC,SEA
0,133,34.0,DAL,SEA
0,132,25.0,UTA,SEA
0,128,0.0,LAC,SEA
0,117,25.0,SAC,SEA
0,137,0.0,MIN,SEA
0,106,0.0,NYK,SEA
0,122,0.0,SAS,SEA
0,96,20.0,BOS,SEA
0,131,100.0,CLE,SEA
0,100,53.2,PHO,SEA
0,105,0.0,PHO,SEA
0,79,0.0,MIA,SEA
0,96,0.0,SAC,SEA
0,130,18.4,MIN,SEA
0,107,100.0,MIN,SEA
0,112,33.3,SAS,SEA
0,121,20.0,BOS,SEA
0,115,8.7,LAL,SEA
0,120,0.0,DEN,SEA
0,101, ,MEM,SEA
