Track,Avg Finish,Races,Wins,Top 5's,Top 10's,Top 20's,Laps Led,Poles,Avg Start,High Finish,Low Finish,DNF
Watkins Glen,27.8,10,0,1,2,2,0,0,33.3,4,42,4
Phoenix,29.0,1,0,0,0,0,0,0,40.0,29,29,0
Daytona,30.0,1,0,0,0,0,0,0,36.0,30,30,0
Michigan,31.5,4,0,0,0,0,0,0,34.3,25,38,3
Sonoma,33.88,8,0,0,0,1,0,0,31.3,12,43,5
Dover,34.0,1,0,0,0,0,0,0,36.0,34,34,1
Charlotte,35.0,1,0,0,0,0,0,0,42.0,35,35,0
Pocono,35.6,5,0,0,0,0,2,0,35.8,22,43,3
Atlanta,37.0,1,0,0,0,0,0,0,42.0,37,37,1
Chicago,39.0,1,0,0,0,0,0,0,43.0,39,39,1
Kansas,41.0,1,0,0,0,0,0,0,27.0,41,41,1
