Year,Weapon,Unit,Hunters*,Harvest,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail
2014,Any Weapon,20A,110.0,28,26.0,560.0,28, ,48,0, 
2013,Any Weapon,20A,92.0,17,19.0,467.0,17, ,18,0,35.0
2012,Any Weapon,20A,97.0,22,22.0,502.0,20,2.0,80,15,47.0
2011,Any Weapon,20A,142.0,35,24.0,863.0,35, ,29,26,56.0
2010,Any Weapon,20A,176.0,30,17.0,933.0,30, ,70,20,13.0
2009,Any Weapon,20A,166.0,33,20.0,1002.0,33, ,73,21,21.0
2008,Any Weapon,20A,258.0,47,18.0,1619.0,43,3.0,53,12,32.0
2007,Any Weapon,20A,225.0,60,27.0,1220.0,57,2.0,46,12,28.0
2006,Any Weapon,20A,295.0,55,19.0, ,49,1.0,43,16,0.0
2005,Any Weapon,20A,206.0,79,38.0,1286.0,77,2.0,36,21,6.0
2004,Any Weapon,20A,208.0,58,28.0,1273.0,58,0.0,60,33,5.0
2003,Any Weapon,20A,476.0,38,8.0,2788.0,35,3.0,58,22,11.0
2002,Any Weapon,20A,242.0,35,14.0,1517.0,34,1.0,48,13,6.0
2001,Any Weapon,20A,147.0,41,28.0,833.0,36,5.0,45,12,16.0
2000,Any Weapon,20A, ,35, , ,32,3.0,50,13,9.0
