MP,TS%,Rk,eFG%,DRB%
6:37, ,15, ,22.0
7:41, ,44, ,43.6
9:17, ,16, ,17.2
16:52,.694,57,.500,16.7
5:09,.500,48,.500,25.2
12:26,1.136,3, ,19.8
4:58, ,10, ,0.0
17:32,.602,64,.500,44.6
13:02,.798,4,1.000,24.6
22:12,.798,62,.667,34.1
20:31,.174,22,.000,16.3
31:50,.200,21,.200,29.4
26:36,.615,34,.500,21.8
4:23, ,53, ,0.0
14:23,.000,5,.000,8.1
18:57,1.136,60, ,32.7
29:18,.333,29,.333,34.4
9:30,.000,59,.000,25.3
32:53,.833,32,1.000,18.2
10:32, ,2, ,27.9
11:08,.500,19,.500,9.6
20:36,.754,41,.500,5.7
12:04,.532,43,.000,18.9
21:08,1.136,23, ,51.1
13:47,1.000,37,1.000,28.2
27:26,.840,27,.667,36.6
17:53,.833,17,.500,28.6
9:40,1.000,11,1.000,34.6
3:14, ,8, ,0.0
22:57, ,33, ,7.2
33:43,.129,26,.000,14.6
11:28,.906,18,1.000,34.9
0:02, ,54, ,0.0
15:29, ,36, ,27.6
20:54,.798,31,1.000,26.1
10:47,.500,58,.500,39.6
9:51,1.136,46, ,31.8
23:58,.667,25,.667,29.8
