SF,GIDP,2B,SB,POS,RBI,OBP,Team,AVG
0,0,0,0,P,0,--,TUL,--
0,6,12,1,C,22,.301,ARK,.206
0,3,7,0,3B,10,.293,TUL,.237
0,0,0,0,2B,0,.182,TUL,.100
1,8,13,7,2B,27,.338,NWA,.294
1,4,12,0,1B,19,.353,SA,.255
1,2,12,2,RF,16,.304,MID,.240
0,0,0,0,SS,0,.231,FRI,.200
2,11,12,15,2B,30,.289,FRI,.257
0,2,0,0,OF,0,.182,ARK,.122
0,0,0,0,P,0,--,SPR,--
3,2,19,12,OF,34,.405,MID,.280
0,0,0,0,P,1,.125,TUL,.125
0,1,3,3,C,8,.297,SA,.224
2,8,16,2,3B,40,.340,MID,.263
1,0,0,0,C,1,.111,CC,.125
0,0,0,0,P,0,.333,SA,.000
4,11,18,30,CF,38,.299,ARK,.214
0,0,0,0,P,0,1.000,SA,1.000
0,2,5,1,C,9,.262,TUL,.194
3,4,22,4,2B,56,.339,ARK,.274
3,11,20,14,3B,42,.279,ARK,.221
1,3,12,0,1B,24,.340,MID,.250
1,9,11,21,OF,47,.283,FRI,.248
0,0,0,0,C,0,.167,FRI,.167
3,8,9,18,OF,29,.274,TUL,.207
0,0,0,0,2B,0,1.000,SA,1.000
0,0,0,0,P,0,.167,TUL,.000
1,7,12,5,OF,23,.323,NWA,.262
0,0,0,0,P,0,.111,SPR,.111
0,0,0,0,P,0,--,SA,--
0,0,0,0,P,0,--,FRI,--
1,10,17,1,3B,40,.337,FRI,.279
0,0,0,0,C,0,.400,FRI,.250
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,.167,TUL,.167
0,1,0,0,C,0,.200,MID,.111
0,2,7,15,RF,26,.333,NWA,.244
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,--,FRI,--
1,4,10,1,DH,22,.306,SA,.238
0,0,0,0,P,0,--,FRI,--
0,0,0,0,P,0,--,SPR,--
0,1,0,0,SS,2,.182,ARK,.182
0,1,1,0,3B,0,.250,SPR,.172
3,7,17,7,OF,32,.323,SPR,.258
0,0,0,0,1B,0,.250,FRI,.250
0,0,0,0,P,0,.000,SA,.000
1,1,20,23,CF,55,.399,CC,.297
0,1,2,0,3B,6,.321,MID,.240
2,8,5,0,C,22,.285,SA,.246
0,0,0,0,P,0,.250,SPR,.250
1,0,0,1,2B,1,.133,SPR,.107
0,0,0,0,P,0,--,SPR,--
1,0,1,0,C,1,.120,SPR,.087
0,3,8,5,2B,19,.354,FRI,.306
0,2,1,0,DH,3,.170,NWA,.154
0,0,0,0,P,0,--,SPR,--
0,0,0,0,P,0,.000,SA,.000
1,2,9,9,CF,9,.305,TUL,.236
0,0,0,0,P,0,.167,SPR,.000
5,11,20,1,C,60,.333,CC,.277
0,1,5,0,3B,11,.322,CC,.238
6,5,26,17,OF,54,.305,MID,.237
1,8,13,14,SS,30,.276,SPR,.237
0,0,0,0,DH,1,.571,FRI,.250
1,7,17,6,1B,87,.324,NWA,.222
0,0,2,0,LF,5,.300,CC,.300
4,13,19,8,C,43,.290,FRI,.264
1,0,8,3,OF,19,.371,ARK,.311
0,1,1,0,C,0,.182,SPR,.182
0,0,6,1,1B,7,.324,CC,.252
1,1,6,1,1B,10,.227,TUL,.188
0,0,2,0,1B,2,.333,FRI,.333
2,2,21,29,CF,35,.396,SA,.316
0,1,1,0,P,0,.308,TUL,.250
1,0,0,1,CF,2,.087,CC,.048
2,11,19,13,SS,36,.331,TUL,.267
0,0,0,0,P,0,--,SA,--
1,1,2,0,LF,5,.289,TUL,.262
0,8,6,0,C,21,.285,MID,.214
0,0,0,3,LF,1,.304,NWA,.158
0,3,4,1,DH,10,.295,CC,.247
3,6,11,10,OF,31,.312,SA,.257
4,6,18,4,SS,22,.291,ARK,.259
0,2,5,0,C,19,.263,FRI,.190
0,0,0,0,P,0,.000,TUL,.000
0,0,0,0,P,0,--,SPR,--
1,7,17,2,3B,19,.304,TUL,.240
1,2,3,1,RF,18,.333,MID,.242
0,13,12,0,C,26,.234,SPR,.209
1,8,10,9,SS,28,.293,CC,.194
0,3,8,1,DH,13,.250,FRI,.222
0,0,0,0,P,0,--,TUL,--
0,0,0,0,LF,0,.182,FRI,.182
0,1,1,0,C,8,.313,SA,.154
4,3,10,14,SS,28,.298,ARK,.252
0,3,4,9,CF,10,.315,TUL,.228
0,0,0,0,P,0,1.000,SPR,1.000
0,0,0,0,P,1,.250,SA,.250
0,0,0,0,P,0,--,TUL,--
3,5,17,0,C,28,.303,ARK,.241
0,6,14,0,OF,29,.347,CC,.262
3,5,4,3,2B,16,.284,SPR,.250
0,0,0,0,OF,0,.300,SPR,.125
0,0,0,0,P,0,--,TUL,--
1,0,4,1,OF,6,.310,SA,.226
0,4,12,5,LF,20,.381,ARK,.288
2,5,15,3,RF,32,.298,SA,.261
2,12,13,4,DH,46,.331,ARK,.261
2,13,18,5,2B,46,.297,CC,.236
3,4,7,4,SS,12,.250,NWA,.213
0,0,0,0,P,0,--,SPR,--
2,4,9,13,2B,32,.289,SA,.239
7,14,24,3,3B,68,.318,CC,.260
1,1,9,3,LF,24,.304,FRI,.242
1,0,2,0,1B,8,.396,CC,.263
2,10,21,19,2B,51,.331,TUL,.280
7,8,20,6,RF,75,.352,MID,.268
