BLK%,eFG%,DRB%,AST%,STL%,Rk,Tm,DRtg,TOV%
0.0,1.000,15.3,0.0,6.8,49,CHI,104,0.0
0.0,.500,51.0,0.0,0.0,50,CHI,103,0.0
0.0,.500,27.1,0.0,0.0,30,CHI,85,11.4
0.0,.750,28.7,14.1,0.0,16,CHI,104,25.8
5.1,.375,43.3,17.7,0.0,44,CHI,110,9.7
0.0,.750,33.8,0.0,0.0,33,CHI,108,0.0
0.0,.385,50.6,8.5,0.0,61,CHI,96,10.5
0.0,.000,11.7,0.0,0.0,46,CHI,107,0.0
0.0,.667,28.8,27.2,0.0,12,CHI,88,20.5
12.7, ,14.7,0.0,0.0,39,CHI,109,0.0
0.0,.667,15.0,0.0,0.0,35,CHI,101,25.0
0.0,1.000,0.0,19.6,5.3,29,CHI,93,23.1
0.0,.286,0.0,8.1,0.0,37,CHI,128,11.3
0.0,.667,16.7,0.0,4.0,22,CHI,102,22.5
0.0, ,0.0,0.0,0.0,36,CHI,122,100.0
9.5,.333,17.4,47.7,0.0,10,CHI,122,0.0
8.7,.333,0.0,12.7,0.0,9,CHI,98,25.0
0.0,.250,19.5,10.1,0.0,23,CHI,122,29.1
3.9,.545,10.0,20.3,1.7,13,CHI,109,7.3
0.0,.667,0.0,0.0,0.0,58,CHI,107,0.0
3.5,.545,17.6,0.0,0.0,57,CHI,112,20.2
0.0,.333,10.9,27.8,13.9,34,CHI,89,50.0
0.0,.500,0.0,0.0,0.0,27,CHI,112,0.0
0.0, ,0.0,0.0,0.0,5,CHI,100, 
0.0, ,0.0,0.0,0.0,45,CHI,144,53.2
0.0,.000,0.0,0.0,0.0,26,CHI,106,0.0
15.0,.500,40.5,0.0,0.0,47,CHI,102,0.0
0.0,.333,44.6,12.5,4.5,38,CHI,97,25.0
0.0,.000,0.0,25.2,0.0,42,CHI,114,0.0
0.0,1.000,19.8,50.8,0.0,52,CHI,116,0.0
5.5,.000,19.0,9.8,0.0,14,CHI,125,33.3
0.0,.000,0.0,0.0,0.0,7,CHI,101,0.0
0.0,1.000,0.0,19.0,0.0,24,CHI,113,0.0
0.0, ,0.0,0.0,0.0,6,CHI,116, 
