Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M159P,56.25,0.0,0.0,1990.0,L,1.0,M1,08/07/2010,1.0,USAM0709
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10W181R,56.0,0.0,0.0,1990.0,L,1.0,M1,05/21/2010,3.0,USAW0473
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M050B,56.0,0.0,0.0,1990.0,L,1.0,M1,08/01/2010,3.0,USAM0156
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M999A,55.5,0.0,0.0,1990.0,L,1.0,M1,08/14/2010,7.0,USAM0156
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10U062L,52.25,0.0,0.0,1990.0,L,1.0,CM,05/23/2010,4.0,USAW0473
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M159P,49.5,0.0,0.0,1990.0,L,2.0,M1,08/07/2010,1.0,USAM0709
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M999A,0.0,4390.0,0.0,1990.0,L,1.0,M1,08/14/2010,4.0,USAM0156
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M050B,0.0,3860.0,0.0,1990.0,L,1.0,M1,08/01/2010,4.0,USAM0156
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M159P,0.0,0.0,56.6,1990.0,L,3.0,OM,08/07/2010,8.0,USAM0709
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M159P,0.0,0.0,54.5,1990.0,L,1.0,OM,08/07/2010,8.0,USAM0709
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M159P,0.0,0.0,52.7,1990.0,L,2.0,OM,08/07/2010,8.0,USAM0709
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M050B,0.0,0.0,52.7,1990.0,L,1.0,M1,08/01/2010,2.0,USAM0156
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10M999A,0.0,0.0,51.0,1990.0,L,1.0,M1,08/14/2010,5.0,USAM0156
 , , , , , , , , , , , , , 
LORENZ Tyler,USA,M,10W181R,0.0,0.0,49.6,1990.0,L,1.0,M1,05/21/2010,2.0,USAW0473
