Course Number,Section Number,Course Title,Call Number,Instructor,Days,Times,Location,Min-Max Credits,60/90 Rule,Years,Notes
854,19,Clinical Program: Federal Appeals Project,88810.0,"Stevenson, A.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor. LW
752,1,Copyright Law,88772.0,"Desai, A.", , , ,4-4,60,L2-L3,Course cancelled
815,1,Appellate Advocacy-Moot Court Board (competitors),88605.0,"Tai, S. Stevenson, A.", , , ,1-3,60,L2-L3,Req. consent of instructor.
815,2,Appellate Advocacy-Moot Court Board (e-board/coaches),88606.0,"Tai, S. Stevenson, A.", , , ,1-3,60,L2-L3,Req. consent of instructor.
815,3,Appellate Advocacy-Moot Court, , , , , ,1-3,60,L2-L3,Req. consent of instructor.
822,1,Family Law: Marriage & Divorce (formerly Family Law I),88607.0,"Brito, T.", , , ,3-3,60,L2-L3,Course cancelled.
854,1,Clinical Program: Domestic Violence Externship,88759.0,"Meuer, T.", , , ,1-7,*,L2-L3,PF only; Req. consent of instructor.
854,3,Clinical Program: Judicial Internship,88609.0,"Heymann, J.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,5,Clinical Program: Prosecution Project,88704.0,"Kempinen, B.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,6,Clinical Program: Disability Rights Wisconsin Externship,88642.0,"Kerschensteiner, K.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,7,Clinical Program: Defense Project,88805.0,"LaVigne, M.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,9,Clinical Program: Labor Law Externship,96321.0,"Clauss, C.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,12,Clinical Program: Wisconsin Innocence Project,88692.0,"Sperling, C. Smith, L. Findley, K.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,13,Clinical Program: Midwestern Environmental Advocates Externship,88714.0,"Tai, S.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,14,Clinical Program: Restorative Justice Project,88721.0,"Scharrer, J.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
854,15,Clinical Program: Family Law Project (FLP),88806.0,"Shear, L.", , , ,1-7,*,L2-L3,PF only; Req. consent of instructor.
862,1,Legal Assist to Institutionalized Persons,88611.0,"Prosser, M.", , , ,1-7,*,L2-L3,PF only; Req. consent of instructor.
895,1,WI International Law Journal,88612.0,"Klug, H.", , , ,1-3,90,L2-L3,Admission to Journal LW.
896,1,"WI Journal of Law, Gender & Society",88613.0,"Quraishi-Landes, A.", , , ,1-3,90,L2-L3,Admission to Journal LW.
899,1,Wisconsin Law Review,88614.0,"Desai, A.", , , ,1-3,90,L2-L3,Admission to Journal LW.
990,1,Directed Research, , , , , ,1-12,90,L2-L3,"1-6 cr for J.D students; 1-12 for LLM-LI, SJD. Go to Rm. 5110A for form."
991,1,Directed Reading, , , , , ,1-3,90,L2-L3,Go to Rm. 5110A for form.
815,4,Appellate Advocacy- Moot Court (Thomas Tang Competition),88811.0,"Tai, S.", , , ,1-3,60,L2-L3,Req. consent of instructor.
817,2,Business Organizations I,88803.0,"Gehl, M.", , , ,3-3,60,L2-L3,Section cancelled
854,17,Clinical Program: Re-Entry Project,88768.0,"TBA, .", , , ,1-7,*,L2-L3,PF only; consent/instr.
854,18,Clinical Program: Law Externship,88807.0,"Heymann, J.", , , ,1-7,*,L2-L3,PF only; consent/instr.
815,6,Appellate Advocacy- Moot Court (Vis Arbitration coaches),88822.0,"Yackee, J.", , , ,1-3,60,L2-L3,Req. consent of instructor.
939,1,SP Family Law: Adoption Law & Policy,96241.0,"Brito, T.", , , ,2-2,60,L2-L3,Course cancelled.
918,3,SP International Law: Vis Competition,96292.0,"Yackee, J.", , , ,2-3,60,L2-L3,Vis Competition coaching; consent of instructor required.
854,23,Clinical Program: Oxford Federal Project,88844.0,"Stevenson, A.", , , ,1-7,*,L2-L3,PF only; req. consent of instructor.
944,1,SP Mod Amer Legal Hist: Twentieth-Century Constitution,96289.0,"Snyder, B.", , , ,3-3,60,L2-L3,Course cancelled
939,3,SP Family Law: Parent & Child,96996.0,"Gaylord, S.", , , ,2-2,60,L2-L3,Course cancelled
950,3,Lawyering Skills: Oral Communications,88850.0,"Plum, C.", , , ,1-1, ,L4-L5,LLM-LI only; meets first half of term only.
854,8,Clinical Program: Family Court Clinic (FCC),88746.0,"Mansfield, M.",MW,100-230,3261,1-7,*,L2-L3,PF only; req. consent of instr. LW
854,16,Clinical Program: Law & Entrepreneurship,88731.0,"Englund, E. Smith, A.",F,1000-1200,WI Insts. for Discovery,1-7,*,L2-L3,PF only; req. consent of instructor. LW
936,1,Torts II,88842.0,"Barkan, S.",TR,1030-1150,3253,3-3,60,L2-L3,PF; Torts I required. Exam: Dec. 14
736,1,Secured Transactions,88603.0,"Cohen, A.",TR,1030-1150,3260(T) 3247(R),3-3,60,L2-L3,PF Exam: Dec. 14
743,2,Negotiations/Mediation,88717.0,"Heymann, S.",TR,1030-1150,5246,3-3,60,L2-L3,No PF; limit: 16 students.
817,1,Business Organizations I,88625.0,"Ohnesorge, J.",MW,1030-1150,2260,3-3,60,L2-L3,PF Exam: Dec. 12
723,6,Legal Research & Writing I,88796.0,"Tinglum, T.",MW,1030-1150,3247,3-3,90,L1, 
731,2,Constitutional Law I,96260.0,"Quraishi-Landes, A.",TR,1030-1150,5229,3-4,60,L2-L3,PF; satisfies Con Law I Req. (4th credit available for 15-page paper.) Take-home exam
850,2,Professional Responsibilities,88716.0,"Pierce, T.",MW,1055-1150,5229,2-2,*,L2-L3,PF; satisfies PR Req. Exam: Dec. 17
726,2,Intro to Substantive Criminal Law,88602.0,"Kempinen, B.",MTWRF,1055-1150,2225,4-4,60,L1,Small group section. Exam: Dec. 10
711,1,Contracts,88594.0,"Alexander, L.",MTWRF,1055-1150,3250,4-4,60,L1,Large section. Exam: Dec. 19
726,1,Intro to Substantive Criminal Law,88601.0,"Schultz, D.",MTWRF,1055-1150,5240,4-4,60,L1,Large section. Exam: Dec. 10
915,3,SP Crim. J. Admin.: Federal Criminal Appeals,96287.0,"Stevenson, A.",MW,110-205,3268,2-2,60,L2-L3,PF only; limited to clincal participants; req. consent of instructor; LW Project/ presentation
850,1,Professional Responsibilities,88715.0,"Schweitzer, N.",TR,110-205,5229,2-2,*,L2-L3,PF; satisfies PR Req. Exam: Dec. 8
742,1,Taxation I,88641.0,"Tahk, S.",MTWR,110-205,5246,4-4,60,L2-L3,PF Exam: Dec. 8
