Age,GmSc,TRB%,DRtg,BLK%,Rk,Opp
29-120,6.4,6.9,106,0.0,5,DAL
29-176,5.2,22.6,120,0.0,22,HOU
29-138,4.9,14.4,81,0.0,10,SAC
29-125,11.3,25.9,108,0.0,6,POR
29-216,2.1,11.1,95,5.1,33,LAC
29-126,5.7,14.4,102,6.7,7,PHI
29-244,2.7,0.0,135,0.0,44,MIL
29-230,3.7,18.0,111,0.0,38,SAS
29-256,-0.4,11.7,121,0.0,49,ORL
29-174,-1.8,5.5,110,0.0,21,VAN
29-201,-1.3,13.5,88,5.9,28,DET
29-260,7.0,11.4,100,0.0,51,CHI
29-146,3.5,23.1,82,0.0,13,POR
29-198,11.2,15.6,109,7.4,26,TOR
29-273,-0.1,10.9,122,0.0,55,DET
29-145,3.9,7.8,102,0.0,12,LAC
29-159,4.5,12.0,107,0.0,16,DAL
29-280,2.5,5.9,119,0.0,58,CHH
