DRB%,GmSc,BLK%,GS,Tm,Rk,MP
14.8,1.3,13.5,0,CHI,66,9:00
9.3,7.1,14.5,0,CHI,22,12:00
21.2,5.3,2.7,0,CHI,51,21:00
5.8,6.3,0.0,0,CHI,45,17:00
17.6,9.0,4.6,0,CHI,9,14:00
11.3,-0.8,7.0,0,CHI,39,9:00
44.7,4.7,0.0,0,CHI,15,15:00
0.0,0.0,0.0,0,CHI,33,2:00
72.7,0.3,0.0,0,CHI,32,2:00
0.0,0.0,0.0,0,CHI,55,9:00
0.0,-3.8,0.0,0,CHI,19,4:00
9.7,4.2,4.6,0,CHI,64,17:00
25.2,1.5,5.5,0,CHI,67,12:00
23.1,0.8,3.6,0,CHI,63,16:00
40.6,5.0,0.0,0,CHI,2,11:00
5.2,4.7,0.0,0,CHI,57,17:00
26.1,-1.9,0.0,0,CHI,11,4:00
18.0,1.3,0.0,0,CHI,58,14:00
39.1,7.7,6.8,0,CHI,20,16:00
11.5,1.1,5.8,0,CHI,62,11:00
25.5,-2.0,0.0,0,CHI,8,4:00
14.9,1.1,0.0,0,CHI,69,7:00
0.0,-1.5,0.0,0,CHI,28,2:00
33.9,9.2,2.2,1,CHI,38,26:00
11.5,2.3,6.5,0,CHI,34,11:00
15.8,0.5,0.0,0,CHI,26,8:00
31.0,9.3,0.0,0,CHI,42,16:00
38.4,11.0,4.7,0,CHI,52,25:00
45.3,4.3,0.0,0,CHI,17,6:00
0.0,2.0,0.0,0,CHI,23,8:00
18.2,9.6,12.4,0,CHI,29,18:00
17.6,10.9,5.9,0,CHI,14,19:00
0.0,4.1,0.0,0,CHI,27,3:00
23.5,1.5,6.0,0,CHI,35,20:00
39.1,7.9,2.6,0,CHI,54,24:00
