SF,POS,AVG,SO,AB,R
0,1B,.182,4,33,5
0,C,.200,6,30,4
3,1B,.276,61,301,39
0,C,.207,4,29,4
0,C,.000,1,4,0
2,3B,.223,108,368,42
5,2B,.247,84,454,61
0,SS,.000,0,1,0
0,SS,.000,1,1,1
0,SS,.294,30,153,27
0,C,.158,4,19,1
4,C,.197,61,234,18
4,SS,.271,125,494,69
0,2B,.204,20,98,8
1,1B,.242,106,475,52
0,C,.339,10,62,10
0,3B,.333,0,3,1
1,SS,.200,12,120,10
0,1B,.400,1,10,1
1,1B,.268,98,489,58
0,1B,.286,1,14,4
1,SS,.293,55,256,46
0,C,.247,67,316,44
0,2B,.271,60,218,35
0,2B,.344,10,32,4
5,1B,.273,102,425,63
2,1B,.232,70,220,22
3,3B,.219,28,146,18
7,C,.277,57,358,42
0,SS,.000,6,11,0
3,3B,.258,47,349,43
0,SS,.190,26,121,12
4,C,.245,16,237,16
0,3B,.249,35,253,20
2,C,.236,62,296,40
0,C,.276,14,174,12
1,1B,.214,43,210,21
0,C,.250,2,16,3
0,3B,.220,24,168,14
6,SS,.229,86,424,49
1,1B,.290,18,62,13
0,SS,.267,2,15,0
6,3B,.261,117,490,60
0,2B,.000,2,4,1
1,C,.292,30,168,15
1,SS,.212,41,236,19
0,2B,.227,39,304,23
1,SS,.247,29,215,21
0,2B,.325,6,40,9
4,C,.260,57,339,31
2,3B,.269,68,283,32
0,2B,.248,26,226,26
1,SS,.196,77,368,23
0,C,.290,8,31,4
3,SS,.262,60,321,53
0,C,.244,25,119,12
0,3B,.132,9,38,3
0,C,.148,8,54,5
1,2B,.257,7,35,5
2,2B,.218,59,275,32
0,SS,.253,17,83,9
2,C,.226,75,332,25
1,2B,.238,14,105,19
0,C,.196,20,112,9
1,2B,.232,27,177,20
0,1B,.165,24,103,6
6,1B,.267,111,454,73
3,2B,.260,17,177,19
1,C,.252,25,103,11
6,SS,.236,72,487,58
0,C,.387,6,31,6
