Name,Year,GP/GS,Min.-Avg.,FG-FGA,Pct.,3FG-FGA,FT-FTA,OR-DR,Reb.-Avg.,PF-FO,Ast,TO,Blk,Stl,Pts.-Avg.
"Maine, Kaisa",1986-89,70/3,640-9.1,78-154,0.816,0-0,40-49,28-55,114-1.6,70-1,23,54,11,18,196-2.8
"Marjanovic, Ana",1991,29/16,468-16.1,92-167,0.722,0-0,39-54,25-49,74-2.6,66-2,23,51,12,20,223-7.7
"Marin, Wendy",1990-91,21/1,178-8.5,23-50,0.789,0-0,15-19,12-36,48-2.3,16-0,12,15,13,6,61-2.9
"Marrone, Christie",2007-08,26/0,279-10.7,24-69,0.714,13-45,5-7,1-25,26-1.0,13-0,35,26,1,8,66-2.5
"Mason, Brenda",1986-87,47/9,613-13.0,47-114,0.69,0-0,40-58, ,129-2.7,56-0,26,26,1,19,134-2.9
"McAliley, Lydia",1979-82,111/41,1380-12.4,324-750,0.574,0-0,112-195, ,575-5.2,316-16,43,0,43,103,760-6.9
"McCray, Kim",1997,7/0,99-14.1,9-23,0.667,0-0,2-3,5-10,15-2.1,8-0,11,10,1,1,20-2.9
"McIntyre, Meghan",1998,26-3,434-16.7,17-53,0.455,0-0,10-22,23-48,71-2.7,32-0,14,33,6,8,44-1.7
"Melbourne, Rosita",1999-02,107/63,2010-18.8,232-500,0.548,0-1,102-186,188-243,431-4.0,215-2,31,187,70,86,566-5.3
"Miller, Michelle",1998-99,6/0,12-2.0,0-4,0.5,0-0,2-4,1-1,2-0.3,1-0,0,4,0,0,2-0.3
"Mincy, Laurin",2010-pres.,106/50,2378-22.4,299-722,0.788,96-280,186-236,108-228,336-3.2,120-0,175,173,37,75,880-8.3
"Mingo, Drey",2008-09,63/0,705-11.2,67-160,0.721,11-35,62-86,39-87,126-2.0,72-3,12,43,9,16,207-3.3
"Mizrachi, Limor",1992,31/31,836-27.0,84-192,0.824,32-77,56-68,10-103,113-3.7,53-0,141,119,3,43,256-8.3
"Moore, Leah",1999,2/0,2-1.0,0-0,0.0,0-0,0-0,0-0,0-0.0,0-0,0,0,0,0,0-0.0
"Moseley, Brene",2011-pres.,71-1,1104-15.5,152-345,0.821,45-121,92-112,19-96,115-1.6,86-0,184,130,2,49,441-6.2
"Myers, Kelli",1988,9/0,27-3.0,3-6,0.0,0-0,0-2,1-1,2-0.2,6-0,0,2,0,0,6-0.7
