Date,era,l,hr
"Mar 23, 2013",4.4,16,0
"Feb 23, 2013",4.58,6,0
"Feb 22, 2013",5.03,6,0
"Feb 10, 2013",4.67,3,2
"Mar 09, 2013",5.16,13,6
"Mar 16, 2013",4.92,15,3
"Mar 24, 2013",4.42,17,2
"Mar 26, 2013",4.36,17,0
"May 05, 2013",3.81,25,2
"Mar 17, 2013",4.64,15,2
"Mar 01, 2013",4.91,9,2
"Feb 15, 2013",4.41,4,1
"Mar 02, 2013",4.33,10,0
"Mar 26, 2013",4.42,17,1
"May 03, 2013",3.9,24,0
"Mar 15, 2013",4.87,14,0
"Mar 01, 2013",4.84,8,0
"Apr 28, 2013",3.85,24,0
"Mar 09, 2013",4.86,12,3
"Feb 09, 2013",2.67,1,1
Totals,3.87,26,51
"Mar 03, 2013",4.09,10,0
"Feb 23, 2013",4.36,6,0
"May 11, 2013",3.87,26,1
"Mar 07, 2013",4.33,11,3
"Apr 20, 2013",4.08,22,0
"Apr 14, 2013",4.17,22,0
"Feb 16, 2013",5.02,5,1
"Feb 08, 2013",2.0,1,2
"Feb 17, 2013",5.3,6,1
"Apr 05, 2013",4.45,18,1
"Feb 09, 2013",2.0,1,1
