GIDP,Player,BB,SB,CS,HR,AB,OBP,OPS
1,G Beckham,5,0,1,3,58,.365,.865
9,C Lee,19,10,9,2,332,.282,.607
2,J Priday,8,0,0,1,77,.315,.665
7,J Mahoney,24,2,0,7,352,.275,.624
2,J Abruzzo,13,1,0,5,203,.347,.795
0,J Reddick,5,2,1,0,53,.397,.887
2,J Lucroy,30,8,1,10,239,.391,.901
3,T Holiday,13,9,2,2,172,.291,.588
14,F Pena,25,0,0,6,397,.308,.688
3,J Castillo,2,0,0,0,66,.408,.863
1,R Corona,8,7,1,4,116,.273,.635
5,R Fronk,74,18,11,17,429,.398,.890
4,B Pruitt,8,0,0,0,59,.373,.661
10,J Nowicki,46,14,4,19,492,.345,.835
7,B Pellegrini,36,13,1,21,310,.331,.835
4,C Culberson,18,6,6,3,282,.290,.609
2,B Whiting,37,33,12,2,226,.377,.718
10,A Coe,15,6,7,7,392,.292,.677
4,B Seabury,11,3,2,1,170,.228,.464
5,D Christensen,23,12,3,11,335,.288,.682
2,C Lester,5,3,1,0,27,.219,.367
0,C Beck,0,0,0,0,0,--,--
10,A Krum,55,12,7,8,459,.356,.753
6,J Simmons,22,25,10,5,354,.277,.602
0,J Pacella,0,0,0,0,0,--,--
4,S Morales,50,18,2,6,401,.311,.651
3,A De La Rosa,5,1,1,4,118,.291,.681
16,Y Navarro,29,3,2,7,325,.341,.753
0,Z Penprase,10,2,1,0,98,.306,.601
4,M Willard,6,1,1,1,103,.241,.484
1,H Demmink,14,2,3,1,136,.312,.606
0,B Kawal,0,0,0,0,12,.250,.583
11,E Farris,24,32,10,3,454,.332,.709
4,S McCraw,21,0,1,0,128,.367,.703
2,J Infante,2,0,0,0,56,.155,.316
7,D Pickens,28,1,1,1,149,.356,.651
7,K Bolt,15,4,1,5,316,.321,.688
6,D Garcia,21,3,0,7,279,.275,.594
0,D Cox,5,0,0,0,15,.400,.600
1,E Alfonzo,1,0,0,1,16,.222,.660
1,C Anderson,11,0,0,0,77,.318,.617
8,M Thompson,37,19,4,5,416,.321,.655
0,W Flores,0,0,0,0,5,.400,.800
8,A Villalona,18,1,2,17,464,.312,.747
1,C Jackson,6,6,2,1,86,.309,.657
17,C Corrado,24,43,5,3,505,.315,.663
6,D Clark,9,3,2,1,158,.292,.621
3,P Figueroa,8,4,1,0,86,.367,.728
3,E Sarmiento,5,0,0,0,63,.246,.453
2,B Lapin,12,1,1,6,191,.264,.636
6,B Schultz,9,2,0,1,90,.330,.675
10,R Adams,36,12,5,11,448,.367,.829
5,J Smith,32,0,0,1,209,.340,.632
4,T Warren,23,6,0,2,231,.321,.654
5,B Petersen,38,15,6,19,296,.381,.921
5,M Taylor,31,10,3,10,249,.441,.995
18,M Arambarris,12,2,0,8,330,.250,.574
0,J Wolf,2,1,1,0,4,.857,2.107
5,J Williams,15,0,0,2,156,.275,.538
3,A Davis,31,7,4,3,194,.307,.606
0,S Welch,2,0,0,1,19,.364,.837
0,J Dominguez,11,6,4,1,140,.275,.546
3,C Lin,43,33,7,5,362,.342,.701
5,J Hehr,23,4,2,3,366,.291,.630
6,B Johnson,19,3,1,4,243,.271,.567
7,M Fleisher,24,0,2,14,307,.356,.890
2,J Henson,3,0,0,1,32,.351,.726
2,R Lucas,11,1,3,2,119,.252,.563
2,S Brown,22,15,6,10,340,.277,.633
8,C Johnson,40,8,3,26,468,.307,.786
2,J Ceballos,1,0,0,1,20,.227,.627
2,L Nieves,1,0,1,0,39,.200,.405
1,C Rodriguez,12,1,2,3,60,.373,.823
8,R Pena,25,1,3,2,290,.312,.670
3,L Sierra,4,4,1,2,92,.216,.488
12,T Henson,25,20,3,11,502,.310,.703
4,D Mollenhauer,24,19,2,2,348,.338,.760
9,C Guzman,20,14,3,8,294,.314,.719
0,J Melton,3,1,0,0,34,.316,.669
6,M Tucker,29,6,6,3,255,.368,.776
8,A Romine,25,3,0,10,407,.344,.781
0,L Fischer,0,0,0,0,11,.000,.000
4,C Miles,35,28,8,1,443,.296,.585
6,J Rogers,16,1,0,3,165,.297,.618
2,G Paiml,5,2,0,0,123,.238,.499
3,T Reagan,20,0,2,2,191,.296,.574
2,D Cash,4,5,0,1,62,.303,.706
0,Y Silva,16,2,1,2,54,.394,.783
0,C Weems,1,0,0,0,7,.250,.393
4,B Lasater,10,0,0,7,118,.306,.738
3,R Jacobsen,10,1,0,1,116,.266,.550
6,R Rivas,17,4,2,0,275,.337,.704
0,D Hollingsworth,0,0,0,0,2,.500,1.000
4,R Pena,33,14,6,11,426,.328,.751
7,E Huber,36,2,2,12,483,.320,.734
2,C DeLome,18,7,2,12,226,.329,.843
18,E Taylor,48,27,3,9,483,.332,.692
7,A Davis,33,4,2,3,439,.303,.654
5,E Salem,14,25,5,0,153,.357,.723
0,V Alvarez,6,0,0,0,46,.250,.402
4,C Cipriano,24,7,0,4,149,.320,.696
3,M Parker,15,2,0,3,212,.252,.554
4,M Bouchard,15,5,6,3,223,.271,.612
0,L Arzeno,1,0,1,0,14,.400,.757
10,W Schaeffer,20,6,2,3,287,.283,.604
0,A White,62,32,11,4,455,.312,.602
2,B Miller,4,0,2,1,95,.220,.483
7,M Cusick,40,8,1,9,351,.356,.818
5,J Lagares,8,3,4,2,181,.285,.622
1,R Mena,0,0,0,1,63,.188,.489
4,J Miller,10,2,0,0,140,.258,.530
9,B Rhinehart,21,0,0,9,261,.344,.834
6,T Pahuta,33,1,0,17,405,.327,.786
0,A LaRoche,2,0,0,1,10,.667,1.667
0,R Hernandez,0,0,1,0,7,.429,.857
0,T Creswell,4,3,1,0,40,.289,.514
4,J Heyward,49,15,3,11,449,.388,.871
0,W Macia,0,0,0,0,1,.000,.000
7,J Martinez,12,7,5,2,144,.359,.741
4,S Vogt,47,6,1,6,392,.368,.776
5,T Hagan,28,2,0,7,312,.338,.739
2,D Jordan,7,1,0,3,68,.303,.685
2,N Mahin,9,2,2,0,66,.273,.470
9,M Mitchell,37,55,9,4,500,.365,.757
0,R Henriquez,0,0,1,0,33,.273,.667
2,S Souza,8,8,2,2,79,.348,.741
1,L Sumoza,2,0,0,0,19,.286,.602
3,E Fryer,43,15,3,10,385,.407,.914
4,L Davis,15,8,5,5,296,.291,.646
4,M Valadez,8,1,1,1,132,.308,.626
0,P Gilardo,6,0,0,0,29,.316,.488
3,J Eigsti,11,3,0,1,150,.309,.655
10,T Mattair,36,9,5,4,460,.321,.649
0,R Cabreja,16,1,1,1,50,.373,.633
3,B Monaghan,18,4,3,1,137,.297,.560
2,N Moresi,4,1,1,2,85,.258,.635
0,S Stromsmoe,10,2,1,0,55,.333,.533
1,S Pena,4,5,0,0,117,.293,.609
2,K Crowell,1,0,1,2,69,.229,.562
1,J Ciriaco,13,7,3,5,138,.340,.767
0,A Kearns,3,0,0,0,3,.667,1.000
3,J Persichina,7,2,1,0,145,.263,.525
9,R Kalish,53,18,4,3,360,.376,.732
10,M Brown,35,3,4,8,451,.356,.789
11,B Suttle,45,2,1,11,377,.348,.804
3,W Ibarra,6,1,0,1,91,.247,.566
5,M Rizzotti,65,1,1,10,365,.380,.810
1,S Nagy,2,4,0,1,34,.189,.483
2,C Fontaine,32,2,5,3,186,.376,.763
2,D Lyons,47,17,7,5,277,.404,.819
2,A Rizzo,3,0,0,0,83,.402,.848
1,J White,20,8,4,0,150,.354,.648
1,B Bowman,9,5,2,2,126,.375,.819
5,M Inouye,14,4,3,6,203,.332,.756
1,J Danks,4,1,0,2,40,.400,1.025
5,S Rooney,16,0,2,1,255,.355,.751
6,C Everett,23,2,0,0,231,.282,.511
7,M Loyola,56,45,17,5,471,.361,.728
1,B Bond,13,6,3,1,150,.401,.795
3,B Brewer,18,16,4,0,174,.294,.604
1,C Fields,1,0,0,0,41,.133,.207
7,R Pena,37,16,5,0,323,.292,.543
0,K Gunderson,0,0,0,0,0,--,--
8,M Jones,35,2,0,7,331,.380,.833
8,T Belcher,2,0,1,2,180,.276,.637
3,J Fixler,16,1,1,8,270,.318,.718
3,M Cline,38,15,2,3,282,.365,.713
8,N Noonan,23,29,4,9,499,.315,.730
6,K Sanchez,38,12,8,12,414,.323,.733
3,J Rodriguez,13,4,0,1,272,.280,.581
2,K Miller,8,1,2,7,128,.285,.730
5,M Gildea,49,4,3,4,293,.296,.549
1,P Silveren,3,0,0,0,45,.313,.646
12,G Baker,33,11,5,9,435,.329,.743
1,A Mead,8,6,3,2,63,.257,.527
3,R Anetsberger,27,2,3,3,257,.357,.719
2,P Cuello,9,3,3,1,92,.314,.640
11,O Luna,16,19,10,1,390,.282,.600
2,D Fonseca,7,1,2,2,85,.272,.566
3,C Fernandez-Oliva,9,0,3,0,164,.320,.661
1,D Stegall,6,2,2,1,107,.252,.561
2,C Gindl,63,14,5,13,508,.388,.862
4,A Laboy,29,6,5,6,251,.324,.699
9,S Jordan,65,35,12,0,438,.355,.654
0,B Stouffer,6,1,0,0,50,.322,.542
1,J Greene,0,1,0,0,28,.267,.624
