SH,BB,SF,Team
0,11,1,BIL
3,37,1,CAS
0,2,0,BIL
3,7,0,IDF
6,6,0,GRF
0,0,0,GRF
3,4,0,OGD
0,2,0,MIS
2,4,1,IDF
3,18,0,HEL
3,18,1,IDF
1,12,0,HEL
1,1,0,CAS
2,20,0,ORM
0,18,1,HEL
2,1,0,ORM
1,3,1,CAS
0,25,0,IDF
0,8,0,ORM
0,42,1,HEL
0,6,0,IDF
6,28,4,ORM
0,18,3,CAS
0,18,3,BIL
3,3,0,GRF
0,7,2,BIL
4,22,0,CAS
0,6,1,HEL
1,23,1,OGD
3,34,2,IDF
1,10,1,IDF
5,30,2,GRF
0,17,4,BIL
0,2,0,MIS
0,11,2,MIS
3,5,1,IDF
2,27,2,MIS
0,0,0,BIL
0,30,5,OGD
4,8,0,BIL
0,38,4,IDF
3,23,2,HEL
0,23,2,BIL
0,0,0,ORM
0,27,3,MIS
1,5,0,HEL
5,16,0,GRF
0,18,0,CAS
5,21,2,OGD
2,24,6,BIL
1,33,1,IDF
0,41,3,BIL
2,21,1,OGD
0,14,1,IDF
1,18,1,IDF
1,1,0,ORM
0,2,0,BIL
