BLK%,Age,DRB%,TS%,DRtg,GS,TOV%,MP
8.4,25-226,22.9,.000,101,1,45.0,37:00
5.7,25-264,20.4,.738,116,1,7.2,35:00
2.7,25-241,28.5,.644,111,1,34.0,23:00
4.3,25-141,22.7,.000,118,1,66.7,32:00
0.0,25-253,30.5,.515,113,1,20.5,36:00
3.5,25-266,19.5,.597,92,1,21.6,41:00
0.0,25-236,33.6,1.000,120,1,0.0,26:00
4.2,25-116,20.5,.400,114,1,28.6,18:00
7.6,25-184,25.6,.481,97,1,27.8,25:00
9.1,25-189,15.8,.000,112,1,0.0,32:00
11.9,25-137,25.9,.532,80,1,51.5,33:00
4.6,25-221,18.2,.563,106,1,25.3,45:00
8.3,25-181,25.1,.333,96,1,40.0,17:00
7.6,25-200,26.7,.625,112,1,0.0,45:00
0.0,25-160,39.2,.400,109,1,28.6,17:00
2.6,25-275,13.7,.500,119,1,0.0,25:00
3.8,25-164,20.5,.514,128,1,18.6,37:00
3.0,25-270,13.1,.788,118,1,18.4,53:00
2.0,25-214,14.3,.444,100,1,20.2,35:00
2.9,25-259,21.1,.000,103,1,0.0,26:00
1.9,25-204,16.3,.375,96,1,11.1,36:00
0.0,25-174,31.4,.500,114,1,50.0,17:00
3.6,25-192,28.0, ,124,1, ,37:00
7.7,25-193,21.1,.820,104,1,55.1,56:00
4.0,25-242,29.0,.615,86,1,17.0,31:00
2.1,25-277,18.2,.333,98,1,50.0,33:00
1.9,25-224,22.6,.222,122,1,22.8,34:00
0.0,25-131,24.3,.000,121,0,0.0,16:00
