G,SLG,AB,R,Team,OBP,POS,2B,SF
5,0.278,18,1,CUB,0.167,3B,0,0
30,0.346,104,14,DOD,0.303,1B,5,2
47,0.43,158,26,DIA,0.335,1B,14,3
41,0.346,159,28,IND,0.316,3B,2,1
43,0.433,157,33,ANG,0.357,3B,7,2
25,0.291,79,9,DIA,0.333,1B,2,0
9,0.513,39,6,GIA,0.325,3B,2,0
5,0.412,17,4,GIA,0.35,1B,0,0
53,0.342,187,26,MAR,0.299,3B,9,2
5,0.833,18,3,RED,0.526,3B,3,0
4,0.833,12,2,ANG,0.538,1B,1,0
23,0.434,83,14,DOD,0.312,3B,5,1
3,0.3,10,0,PAD,0.364,3B,0,0
50,0.339,189,30,DOD,0.298,3B,10,0
8,0.259,27,3,ATH,0.281,3B,0,0
31,0.414,116,18,MAR,0.398,1B,9,0
44,0.322,171,18,BRE,0.311,3B,6,0
40,0.388,147,31,ROY,0.344,3B,7,0
6,0.609,23,8,PAD,0.464,1B,2,1
46,0.639,166,44,GIA,0.403,3B,15,10
7,0.65,20,4,ANG,0.36,3B,0,0
18,0.2,50,8,DOD,0.283,1B,2,1
44,0.467,169,39,RAN,0.39,1B,10,2
37,0.5,150,38,PAD,0.349,3B,7,0
21,0.333,78,9,ANG,0.33,3B,3,0
46,0.368,174,33,BRE,0.385,1B,8,3
39,0.511,137,20,ATH,0.368,1B,11,2
14,0.282,39,3,RED,0.319,1B,1,1
42,0.337,169,16,BRE,0.275,1B,7,0
