GmSc,DRB%,Tm,G,MP,Date
4.4,16.2,BOS,49,22:00,1988-02-17
10.1,7.5,BOS,21,16:00,1987-12-22
2.6,24.2,BOS,36,11:00,1988-01-22
5.2,8.6,BOS,18,30:00,1987-12-15
2.8,18.7,BOS,22,11:00,1987-12-26
-0.4,0.0,BOS,26,2:00,1988-01-04
16.0,4.7,BOS,65,30:00,1988-03-25
-2.2,0.0,BOS,29,8:00,1988-01-09
-0.1,8.4,BOS,46,11:00,1988-02-12
1.3,22.3,BOS,76,5:00,1988-04-19
5.7,20.0,BOS,55,16:00,1988-03-02
-1.2,36.1,BOS,37,7:00,1988-01-23
9.0,16.7,BOS,57,27:00,1988-03-06
0.7,7.8,BOS,24,12:00,1987-12-30
5.8,13.9,BOS,32,30:00,1988-01-15
-1.1,14.4,BOS,52,9:00,1988-02-24
1.9,13.3,BOS,62,8:00,1988-03-18
2.9,9.1,BOS,64,10:00,1988-03-23
1.8,13.2,BOS,74,11:00,1988-04-15
0.7,24.2,BOS,69,9:00,1988-04-01
5.6,22.2,BOS,48,30:00,1988-02-15
1.6,0.0,BOS,40,8:00,1988-01-29
-1.6,5.9,BOS,44,16:00,1988-02-09
2.9,31.3,BOS,56,13:00,1988-03-04
4.1,19.0,BOS,12,11:00,1987-11-25
6.9,27.4,BOS,79,25:00,1988-04-24
4.8,7.8,BOS,6,24:00,1987-11-15
2.3,20.6,BOS,73,14:00,1988-04-13
0.0,0.0,BOS,27,4:00,1988-01-06
9.1,24.9,BOS,60,27:00,1988-03-13
-1.4,0.0,BOS,19,7:00,1987-12-16
0.0,0.0,BOS,3,1:00,1987-11-09
0.5,23.7,BOS,33,9:00,1988-01-16
2.3,42.6,BOS,8,34:00,1987-11-18
7.6,8.4,BOS,5,15:00,1987-11-13
19.6,18.8,BOS,20,26:00,1987-12-20
1.0,9.1,BOS,11,22:00,1987-11-23
4.8,22.9,BOS,70,15:00,1988-04-03
0.1,32.3,BOS,78,18:00,1988-04-22
4.4,23.2,BOS,53,14:00,1988-02-26
0.6,11.5,BOS,41,8:00,1988-01-31
2.0,18.2,BOS,77,6:00,1988-04-21
-2.4,53.3,BOS,17,6:00,1987-12-11
-0.1,19.0,BOS,25,7:00,1988-01-02
1.4,0.0,BOS,66,12:00,1988-03-26
