PB,Rtot,RF/G,GS,Tm,Ch,Fld%,CS,CS%,CG,Rtot/yr
1,0,0.00,0,CHC,0, ,0, ,0,0
4,4,4.48,56,SDP,321,.991,23,35%,41,10
3,0,3.61,30,SDP,151,.980,9,33%,17,0
10,-7,5.97,92,PIT,594,.975,26,28%,89,-10
1,0,5.10,17, ,103,.985,6,33%,14,0
0,0,3.50,1,CHC,14,1.000,0,0%,1,0
1,11,5.68,147,MON,874,.989,58,42%,136,10
12,7,6.10,96,CIN,660,.989,35,42%,69,10
1,0,3.80,3,SDP,20,.950,2,67%,0,0
8,10,5.64,134,NYM,807,.985,52,38%,127,10
4,-5,5.32,32,SFG,202,.975,8,17%,25,-22
0,-1,0.00,0,SFG,0, ,0, ,0,-600
8,0,5.50,25,NYM,168,.982,14,36%,18,0
4,2,3.81,28,CIN,202,.980,13,38%,19,8
8,3,5.66,119,STL,767,.988,65,34%,110,3
0,-1,3.63,18,LAD,91,.956,6,32%,8,-8
2,12,4.70,72,LAD,433,.988,35,47%,58,23
