Team,SF,G,HR,OBP,H,GIDP,SB
KAN,1,7,0,.267,7,1,1
GBO,1,6,1,.227,4,2,0
SAV,0,3,0,.250,3,0,0
KAN,0,39,2,.359,44,7,7
LEX,0,24,2,.258,19,2,1
ASH,5,137,14,.400,162,14,6
COL,5,106,13,.276,81,10,2
AUG,2,107,5,.277,82,6,25
LEX,4,132,9,.332,123,18,27
HAG,1,50,4,.338,48,8,1
LC,0,44,5,.413,41,2,1
HAG,2,91,4,.296,50,5,4
LC,4,129,4,.312,98,0,32
LWD,4,102,10,.380,98,5,1
AUG,8,123,0,.355,111,9,35
HAG,0,15,0,.322,10,0,1
HIC,5,112,4,.274,88,9,10
LC,5,116,12,.323,102,6,12
GVL,1,91,5,.342,90,3,33
HAG,0,1,0,--,0,0,0
GBO,2,111,13,.347,125,5,5
GBO,0,69,3,.357,68,3,2
LEX,0,10,1,.351,8,2,0
LWD,0,4,0,.400,5,0,0
CSC,0,27,1,.247,18,3,1
AUG,4,34,4,.273,24,1,7
SAV,0,1,0,.400,2,0,0
LC,0,10,1,.351,10,3,0
LWD,0,2,0,.200,1,0,0
LWD,6,127,3,.300,109,11,14
WV,5,103,3,.332,133,11,32
LWD,4,114,9,.382,129,10,22
HAG,0,38,0,.228,27,4,0
KAN,0,20,0,.278,13,5,3
ASH,0,31,2,.375,41,1,5
ROM,1,123,4,.311,113,3,10
ASH,1,94,11,.288,76,5,12
ROM,0,15,3,.220,10,1,0
GBO,1,71,6,.249,54,18,0
KAN,3,58,6,.332,55,5,4
ROM,2,76,4,.244,55,7,10
DEL,0,18,0,.219,2,2,3
AUG,2,123,17,.312,122,8,1
AUG,4,119,9,.329,115,12,11
LEX,2,61,12,.329,59,2,7
LWD,3,55,1,.357,55,4,2
COL,0,8,0,.154,1,2,0
GVL,0,16,0,.345,10,4,0
LEX,5,74,4,.282,51,8,0
AUG,0,26,5,.373,27,1,2
SAV,4,78,1,.280,65,3,4
CSC,3,134,4,.302,112,14,17
SAV,3,84,8,.314,79,9,14
HAG,0,58,2,.377,59,2,33
HAG,3,116,17,.327,109,6,1
HAG,0,23,2,.348,21,2,8
GBO,0,0,0,--,0,0,0
WV,3,104,10,.407,129,3,15
CSC,4,131,8,.356,125,10,12
KAN,4,123,14,.308,129,8,10
SAV,6,90,11,.316,85,8,2
AUG,8,117,15,.359,118,8,3
WV,0,34,4,.291,28,3,1
HAG,1,63,0,.300,47,4,28
GVL,0,1,0,.000,0,0,0
HAG,0,56,3,.297,37,6,1
ROM,1,19,0,.132,5,1,1
SAV,2,90,0,.292,66,7,16
HIC,1,36,0,.293,31,1,5
WV,2,137,13,.346,130,14,13
KAN,2,16,0,.408,26,3,0
CSC,4,96,11,.348,102,11,2
HIC,3,84,2,.312,72,8,1
CSC,0,31,1,.314,22,2,3
SAV,0,5,1,.364,5,0,0
COL,3,122,5,.361,132,7,45
GVL,1,35,2,.238,29,1,0
AUG,0,25,0,.344,24,0,4
ASH,0,16,0,.246,9,0,1
COL,0,15,0,.338,10,0,1
COL,2,55,3,.376,50,2,2
ASH,2,55,6,.264,40,2,1
SAV,0,1,0,--,0,0,0
ASH,2,121,6,.361,136,6,73
GBO,0,33,2,.230,21,0,0
KAN,1,41,0,.263,31,3,2
KAN,0,17,0,.294,8,2,0
HIC,4,127,12,.320,125,7,2
CSC,1,104,10,.344,122,8,3
GBO,6,79,19,.381,89,5,15
SAV,0,46,1,.292,39,6,3
HAG,1,16,1,.302,12,2,1
CSC,1,132,17,.376,171,16,2
HIC,1,97,3,.310,83,7,14
AUG,1,47,2,.275,28,5,0
HIC,0,23,0,.241,16,0,2
WV,4,131,19,.350,140,10,4
COL,1,42,4,.320,29,4,7
WV,0,18,3,.275,12,1,0
GVL,0,91,8,.250,69,18,2
DEL,0,12,0,.255,10,4,0
HIC,3,57,6,.384,69,10,1
COL,4,113,6,.368,114,4,6
ROM,0,1,0,--,0,0,0
HIC,3,56,7,.284,56,4,0
KAN,1,22,3,.303,16,2,1
