Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,30.00K,0.00K
SHATTUCK,ELLIS CO.,OK,05/23/2008,17:50,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
LAVERNE,HARPER CO.,OK,05/23/2008,17:55,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
LAVERNE,HARPER CO.,OK,05/23/2008,18:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
SHATTUCK,ELLIS CO.,OK,05/23/2008,18:15,CST-6,Hail,2.75 in.,0,0,0.00K,0.00K
SELMAN,HARPER CO.,OK,05/23/2008,19:03,CST-6,Hail,1.50 in.,0,0,0.00K,0.00K
SELMAN,HARPER CO.,OK,05/23/2008,19:03,CST-6,Tornado,EF3,0,0,0.00K,0.00K
LAVERNE,HARPER CO.,OK,05/23/2008,19:15,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
BUFFALO,HARPER CO.,OK,05/23/2008,19:58,CST-6,Tornado,EF0,0,0,10.00K,0.00K
CAMP HOUSTON,WOODS CO.,OK,05/23/2008,19:59,CST-6,Tornado,EF2,0,0,20.00K,0.00K
LAVERNE,HARPER CO.,OK,05/23/2008,21:08,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
SHATTUCK,ELLIS CO.,OK,05/23/2008,22:27,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ARNETT,ELLIS CO.,OK,05/23/2008,22:35,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ARNETT,ELLIS CO.,OK,05/23/2008,22:35,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
ARNETT,ELLIS CO.,OK,05/23/2008,22:45,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
WOODWARD,WOODWARD CO.,OK,05/23/2008,23:12,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
SHARON,WOODWARD CO.,OK,05/23/2008,23:40,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,30.00K,0.00K
