Rk,BLK%,Opp,Date,TOV%,ORB%,MP
3,0.0,MIL,2005-11-16,53.2,11.3,8:32
16,0.0,TOR,2005-12-16,0.0,5.8,20:50
35,7.1,POR,2006-01-28,0.0,15.4,21:45
65,0.0,PHO,2006-04-14,0.0,0.0,13:02
11,0.0,SAC,2005-11-30,100.0,34.1,9:36
29,9.2,SEA,2006-01-16,50.0,16.4,7:42
45,2.4,SAS,2006-02-25,0.0,15.9,27:28
25,8.4,IND,2006-01-05,0.0,0.0,10:25
10,0.0,NOK,2005-11-28,0.0,28.4,17:14
39,23.5,DEN,2006-02-06,0.0,6.0,18:02
51,9.4,CHA,2006-03-08,34.7,7.4,15:27
41,0.0,IND,2006-02-10,0.0,13.3,20:29
15,0.0,HOU,2005-12-14,20.0,6.0,16:42
68,3.2,UTA,2006-04-19,0.0,25.8,23:13
37,2.7,SAS,2006-02-02,45.0,16.1,28:28
57,0.0,DAL,2006-03-23,0.0,19.0,11:12
6,9.2,NJN,2005-11-21,50.0,0.0,9:20
12,10.9,CHA,2005-12-02,20.0,8.3,13:08
67,3.7,POR,2006-04-17,25.3,21.0,24:43
