Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
81,Daniel Vettori,37 years,New Zealand,8,4,3,16,8,16.0,0,0
82,Ryan ten Doeschate,35 years, ,6,4,1,47,29,15.67,0,0
83,Khalid Latif,30 years,Pakistan Cricket Board Chairman's XI,3,3,1,31,19,15.5,0,0
84,Mahendra Dhoni,34 years, ,7,2,1,15,9,15.0,0,0
85,Sanath Jayasuriya,46 years, ,9,2,0,30,29,15.0,0,0
86,Andrew White,35 years, ,7,4,2,29,16,14.5,0,0
87,Jacob Oram,37 years, ,10,5,2,43,20,14.33,0,0
88,Andre Botha,40 years,Ireland,7,4,0,57,35,14.25,0,0
89,Jesse Ryder,31 years,New Zealand,6,5,0,71,37,14.2,0,0
90,Shiv Chanderpaul,41 years, ,9,2,0,28,28,14.0,0,0
91,Tom de Grooth,36 years,Netherlands,7,4,1,42,16,14.0,0,0
92,Junaid Siddique,28 years,Bangladesh,8,6,0,83,33,13.83,0,0
93,Faisal Hossain,37 years,Bangladesh,3,3,0,40,20,13.33,0,0
94,Trent Johnston,41 years,Ireland,9,5,1,53,17,13.25,0,0
95,Jean-Paul Duminy,31 years, ,9,3,1,26,14,13.0,0,0
96,Chamara Silva,36 years, ,9,2,1,13,12,13.0,0,0
97,Mahbubul Alam,32 years,Bangladesh A,3,1,0,13,13,13.0,0,0
98,Eric Szwarczynski,32 years,Netherlands,5,4,1,38,22,12.67,0,0
99,Kevin OBrien,31 years,Ireland,11,6,0,75,23,12.5,0,0
100,Mushfiqur Rahim,27 years,Bangladesh,10,7,0,86,34,12.29,0,0
