Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Renfroe,Gre,103,14,32,10,0,4,15,3,0,14,15,0.311,0.398,0.524,0.923
Keury De La Cruz,Gre,122,17,39,9,4,2,15,9,3,12,23,0.32,0.394,0.508,0.902
Henry Ramos,Gre,109,17,33,8,1,3,22,4,3,13,21,0.303,0.387,0.477,0.864
Boss Moanaroa,Gre,78,10,21,6,0,2,13,0,0,10,26,0.269,0.372,0.423,0.795
Garin Cecchini,Gre,130,18,29,6,1,0,13,15,4,13,28,0.223,0.318,0.285,0.602
Jose Vinicio,Gre,69,5,14,5,1,0,6,12,1,2,19,0.203,0.247,0.304,0.551
Drew Turocy,Gre,69,8,22,4,0,0,6,2,1,3,16,0.319,0.351,0.377,0.728
Bryan Johns,Gre,60,10,12,4,0,0,6,2,1,18,16,0.2,0.385,0.267,0.651
Cody Koback,Gre,97,9,23,4,1,1,9,5,1,9,30,0.237,0.312,0.33,0.642
Jose Garcia,Gre,88,15,21,4,0,1,5,7,2,11,23,0.239,0.317,0.318,0.635
Nick Natoli,Gre,41,12,11,3,0,1,5,3,0,12,9,0.268,0.434,0.415,0.849
Blake Swihart,Gre,82,8,19,3,0,2,13,2,2,9,14,0.232,0.301,0.341,0.643
Lucas LeBlanc,Gre,42,7,9,3,0,0,4,0,0,4,11,0.214,0.306,0.286,0.592
Jordan Weems,Gre,83,7,16,2,0,0,10,0,1,12,30,0.193,0.295,0.217,0.512
Leonel Escobar,Gre,8,2,1,1,0,0,0,0,0,2,1,0.125,0.3,0.25,0.55
Matthew Marquis,Gre,45,4,7,1,1,0,4,0,0,6,18,0.156,0.269,0.222,0.491
Jason Repko,Gre,6,0,1,0,0,0,0,0,0,1,3,0.167,0.286,0.167,0.452
Dreily Guerrero,Gre,15,0,3,0,0,0,1,0,0,0,8,0.2,0.2,0.2,0.4
