Date,Opponent,Score,gs,min,off,def,reb,ast,to,a/to,stl,blk,pf,dq
Nov 3,Cal St. East Bay,"W, 88-65",1,22,1,2,3,0,2,0.0,1,0,3,0
Nov 8,Hawaii Pacific,"W, 76-50",1,23,1,1,2,7,0,-,0,0,1,0
Nov 12,at UNLV,"W, 86-65",1,23,0,2,2,2,0,-,1,0,3,0
Nov 16,Utah State,"L, 71-64",1,29,0,0,0,4,1,4.0,1,0,3,0
Nov 21,at Colorado,"L, 76-68",1,25,1,0,1,3,2,1.5,1,0,4,0
Nov 29,South Dakota State,"W, 83-64",1,32,0,4,4,8,0,-,0,0,1,0
Dec 3,at UCLA,"L, 89-76",1,38,1,1,2,4,5,0.8,2,0,4,0
Dec 6,Cal,"W, 72-65",1,36,0,1,1,10,1,10.0,1,0,1,0
Dec 15,at San Diego,"W, 72-61",1,33,0,2,2,5,1,5.0,0,0,0,0
Dec 19,vs. Troy,"W, 57-54",1,32,0,1,1,5,0,-,0,0,1,0
Dec 20,at Utah State,"L, 77-71",1,38,0,3,3,5,2,2.5,0,0,2,0
Dec 21,vs. Western Ill.,"W, 61-55",1,33,0,3,3,4,3,1.3,1,0,2,0
Dec 30,at Seattle University,"W, 86-70",1,32,0,2,2,5,2,2.5,1,0,1,0
Jan 4,The Master's College,"W, 81-52",1,18,2,1,3,6,2,3.0,0,0,0,0
Jan 11,Cal Poly,"L, 72-64",1,33,0,2,2,4,2,2.0,0,0,4,0
Jan 16,Long Beach State,"W, 64-51",1,34,1,3,4,9,3,3.0,2,0,1,0
Jan 18,at Cal State Northridge,"W, 79-69",1,26,0,1,1,1,2,0.5,0,0,2,0
Jan 23,at UC Riverside,"W, 68-65",1,35,1,2,3,2,0,-,1,0,5,1
Jan 25,at Cal State Fullerton,"L, 74-72",1,34,0,4,4,10,0,-,1,0,4,0
Jan 30,UC Irvine,"W, 80-60",1,34,0,2,2,6,1,6.0,0,0,2,0
Feb 1,UC Davis,"W, 82-67",1,28,0,0,0,4,0,-,0,0,2,-
Feb 6,at Hawai'i,"W, 75-64",1,32,0,2,2,3,1,3.0,1,0,1,-
Feb 13,at Long Beach State,"W, 65-64",1,32,0,0,0,3,0,-,1,0,2,-
Feb 15,Cal State Northridge,"L, 80-78",1,37,2,2,4,8,1,8.0,1,0,1,-
Feb 20,UC Riverside,"W, 55-54",1,35,2,3,5,3,0,-,0,0,2,-
Feb 22,Cal State Fullerton,"W, 80-65",1,32,0,0,0,10,0,-,0,0,4,-
Feb 27,at UC Irvine,"L, 71-60",1,25,0,1,1,1,1,1.0,1,0,3,-
Mar 1,at UC Davis,"W, 67-54",1,26,0,4,4,6,1,6.0,0,0,1,-
Mar 6,Hawai'i,"W, 86-77",1,30,0,3,3,5,0,-,2,0,2,-
Mar 8,at Cal Poly,"W, 71-55",1,26,0,2,2,7,1,7.0,0,0,2,-
Mar 13,vs. Cal Poly,"L, 69-38",1,34,0,1,1,3,1,3.0,0,0,3,-
