GP,PF,TO,3FGM,DEF,Pts,Blk
5,2.2,2.2,0.6,2.0,4.8,0.0
10,2.3,2.1,0.8,2.2,10.3,0.0
6,1.7,1.8,0.7,1.2,6.2,0.0
4,2.5,1.5,0.8,2.0,4.0,0.0
3,2.0,2.0,0.7,1.0,6.3,0.0
-,-,-,-,-,-,-
2,2.5,1.5,0.5,1.5,2.5,0.0
1,1.0,1.0,0.0,1.0,0.0,0.0
10,2.6,2.1,0.7,2.6,8.5,0.0
2,1.5,1.5,0.5,2.5,3.0,0.0
11,2.2,1.9,0.8,2.0,9.6,0.0
5,1.8,2.2,0.6,1.4,6.8,0.0
1,1.0,1.0,0.0,0.0,0.0,0.0
6,2.5,2.5,0.8,3.2,11.8,0.0
23,2.3,2.4,1.0,2.4,10.0,0.0
3,1.3,2.0,0.3,1.3,5.0,0.0
24,2.4,2.7,1.0,2.8,11.8,0.0
5,1.8,2.0,0.8,1.4,7.4,0.0
3,2.3,2.7,0.7,2.7,14.0,0.3
4,2.0,2.5,0.8,3.2,11.5,0.0
11,2.6,2.5,0.9,3.0,11.3,0.1
13,2.7,2.6,1.2,3.2,11.5,0.1
4,1.2,1.5,1.5,2.5,8.8,0.0
2,1.5,2.5,2.5,5.0,16.0,0.0
2,1.0,0.5,0.5,0.5,1.5,0.0
14,2.4,2.4,0.8,2.6,9.9,0.1
4,3.0,2.8,0.8,2.2,12.5,0.0
4,2.0,2.5,0.8,1.8,8.5,0.0
16,2.6,2.5,1.1,2.8,10.6,0.1
5,3.4,2.8,1.0,3.4,11.8,0.0
