Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 30,at Morehead State,"L, 55-0",1,1,2,0.5,4,0.5,-,-,-,-,-,-,-,-
Sep 8,N.C. Wesleyan,"W, 24-14",1,3,4,1.5,6,0.5,-,-,-,-,-,-,1,-
Sep 15,at Ferrum College,"L, 20-7",2,2,4,1,6,2.0,-,-,-,-,-,-,-,-
Sep 22,at Ave Maria,"L, 49-30",1,1,2,1,5,1.5,-,-,-,-,-,-,1,-
Sep 29,VU-Lynchburg,"L, 19-16",2,0,2,1,11,1.0,-,1,-,-,-,-,-,-
Oct 5,vs. Apprentice,"W, 20-14",2,2,4,0.5,1,2.0,-,-,-,-,-,-,-,-
Oct 13,at Brevard,"L, 59-24",3,1,4,1,3,1.0,-,-,-,-,-,-,1,-
Oct 20,Concordia-Selma,"L, 20-14",1,4,5,1,4,1.5,-,-,-,-,-,-,1,-
Oct 27,at Alfred State,"W, 21-6",5,1,6,2,8,3.0,-,-,-,-,-,-,-,-
Nov 3,Webber Int'l,"W, 27-6",1,7,8,1,7,1.0,-,-,-,-,-,-,1,-
Nov 10,at Edward Waters,"W, 17-10",0,1,1,-,-,0.0,-,-,-,-,-,-,-,-
