I,K,R
Auckland- Upper Harbour, ,736
Auckland- Mangere-Otahuhu,29,39
Auckland- Waitemata,360,691
Auckland- Albert-Eden,639,779
Auckland- Whau,596,594
Auckland- Otara-Papatoetoe,490,446
Auckland- Howick,205,133
Auckland- Maungakiekie-Tamaki,50,33
Auckland- Papakura,148,162
Auckland- Devonport-Takapuna,533,558
Auckland- Papakura,482,529
Auckland- Otara-Papatoetoe,327,287
Auckland- Papakura,411,416
Auckland- Howick,316,405
Auckland- Orakei,917,1009
Auckland- Howick,657,564
Auckland- Maungakiekie-Tamaki,471,522
Auckland- Howick,466,467
Auckland- Manurewa, ,26
Auckland- Franklin,194,242
Auckland- Waitemata,1432,1429
Auckland- Whau,575,836
Auckland- Kaipatiki,349,342
Auckland- Papakura,560,528
Auckland- Devonport-Takapuna,320,319
Auckland- Otara-Papatoetoe,367,372
Auckland- Franklin,388,521
Auckland- Howick,311,1837
Auckland- Howick,696,708
Auckland- Albert-Eden,2490,2456
Auckland- Puketapapa,390,276
Auckland- Mangere-Otahuhu,314,253
Auckland- Manurewa,475,470
region,y_2004,y_2011
Auckland- Whau,2589,2638
Auckland- Franklin,353,343
Auckland- Otara-Papatoetoe,888,991
Auckland- Papakura,30,30
Auckland- Albert-Eden,14,22
Auckland- Albert-Eden,650,651
Auckland- Hibiscus and Bays,613,540
Auckland- Franklin,81,105
Auckland- Henderson-Massey,274,223
Auckland- Albert-Eden,498,532
Auckland- Albert-Eden,639,632
Auckland- Franklin,123,100
Auckland- Henderson-Massey, ,262
Auckland- Albert-Eden,1545,1430
