Digital Channel,Display Channel,Call Sign,Src ID,PMT PID,Video,Dimensions,Aspect Ratio,Video PID,Video (Mbps),PCR PID,Audio Type,Audio PID,Audio Bitrate
23.1,31-01,KVMD-DT,17,0x0030,720p,1280x720,16:9,0x0031,0Mbps,0x0031,DD2.0,0x0034,192kbps
23.2,31-02,UDG,20,0x0040,480i,704x480,4:3,0x0041,1.5Mbps,0x0041,DD2.0,0x0044,128kbps
23.3,31-03,FILAM,25,0x0050,480i,544x480,4:3,0x0051,2.25Mbps,0x0051,DD2.0,0x0054,128kbps
23.4,31-04,GDTV,13,0x0060,480i,704x480,16:9,0x0061,1.8Mbps,0x0061,DD2.0,0x0064,128kbps
23.5,31-05,Creatio,16,0x0070,480i,704x480,4:3,0x0071,1.8Mbps,0x0071,DD2.0,0x0074,192kbps
23.6,31-06,HOPE,22,0x0080,480i,704x480,4:3,0x0081,1.25Mbps,0x0081,DD2.0,0x0084,128kbps
23.7,31-07,TBWTV,35,0x0090,480i,704x480,4:3,0x0091,1.4Mbps,0x0091,DD2.0,0x0094,96kbps
23.8,31-08,WCETV,10,0x00a0,480i,704x480,4:3,0x00a1,2.05Mbps,0x00a1,DD2.0,0x00a4,128kbps
23.9,31-09,CCTV,9,0x00b0,480i,704x480,4:3,0x00b1,2.4Mbps,0x00b1,DD2.0,0x00b4,128kbps
23.1,31-10,TSTV,11,0x00c0,480i,352x480,4:3,0x00c1,1.5Mbps,0x00c1,DD2.0,0x00c4,128kbps
23.11,31-11,REV FRN,26,0x00d0,480i, ,4:3,0x00d1,0Mbps,0x00d1,DD2.0,0x00d4,128kbps
23.12,31-12,CRNSTR,12,0x00e0,480i, ,4:3,0x00e1,0Mbps,0x00e1,DD2.0,0x00e4,128kbps
