e,avg,2b,r,Date
2,0.232,0,2,"Mar 13, 2009"
0,0.237,0,1,"Feb 27, 2009"
0,0.229,0,2,"Apr. 4, 2009"
1,0.233,0,2,"Apr 1, 2009"
1,0.243,3,8,"Feb 21, 2009"
1,0.256,1,5,"Feb 8, 2009"
2,0.236,1,7,"May 7, 2009"
0,0.23,0,3,"Mar 14, 2009"
0,0.229,0,1,"Apr. 5, 2009"
1,0.225,0,4,"Apr 18, 2009"
2,0.236,0,6,"Apr 25, 2009"
0,0.312,2,6,"Feb 6, 2009"
0,0.233,1,2,"May 02, 2009"
3,0.259,1,3,"Feb. 7, 2009"
0,0.227,0,4,"Apr 22, 2009"
1,0.238,0,2,"Mar 7, 2009"
2,0.227,2,3,"Apr 19, 2009"
0,0.23,1,3,"Apr. 8, 2009"
69,0.237,35,186,Totals
2,0.255,2,2,"Feb 13, 2009"
2,0.228,0,0,"Apr 14, 2009"
0,0.237,1,3,"May 9, 2009"
1,0.232,0,4,"Mar 22, 2009"
3,0.233,0,4,"Mar 21, 2009"
4,0.236,0,2,"Apr 26, 2009"
1,0.227,0,0,"Apr 14, 2009"
0,0.23,1,3,"Apr. 4, 2009"
0,0.25,0,1,"Feb 14, 2009"
0,0.234,0,6,"May 6, 2009"
