SLG,H,R,OBP,GIDP,G,RBI,CS,HR
.433,126,64,.405,7,121,54,3,9
.401,87,39,.298,5,111,48,3,11
.364,2,1,.182,1,4,1,0,0
.380,90,37,.305,6,110,53,3,8
.276,19,4,.225,5,31,8,0,2
.380,72,32,.363,7,93,51,3,6
.297,9,5,.326,0,14,2,0,0
.307,19,6,.321,4,20,8,1,0
.556,2,3,.300,0,2,2,0,1
.179,3,1,.167,2,8,2,0,0
.223,20,13,.237,2,31,5,2,0
.000,0,0,.000,0,4,0,0,0
.439,89,57,.324,13,104,46,2,15
.344,98,50,.299,8,108,35,4,4
.248,48,22,.247,5,69,25,1,2
.000,0,0,.200,0,3,0,0,0
.409,77,38,.390,9,97,43,2,7
.448,106,57,.356,8,107,52,1,14
.413,55,27,.293,3,64,31,1,6
.436,133,62,.342,8,125,71,4,8
.559,132,67,.415,13,98,83,2,13
.213,8,4,.235,0,16,3,0,0
.364,7,5,.400,0,6,1,0,0
.500,22,13,.386,3,18,9,3,3
.374,99,64,.361,10,103,42,2,5
.436,94,46,.375,6,116,59,1,14
.143,1,0,.250,0,2,0,0,0
.420,50,34,.357,3,59,29,0,7
.600,7,4,.409,0,7,4,1,1
.404,59,35,.328,3,78,26,0,5
.614,42,30,.358,1,41,31,1,14
.300,85,36,.267,6,112,27,10,3
.505,90,54,.407,6,91,52,4,12
.167,1,1,.286,0,4,0,0,0
.389,13,9,.333,1,16,7,0,1
.313,126,70,.336,6,133,37,8,2
.265,72,35,.269,6,109,32,4,2
.483,10,2,.406,1,9,1,0,0
.432,81,45,.359,4,78,42,1,8
.333,4,0,.385,1,4,0,0,0
.394,117,71,.396,8,127,60,12,7
.000,0,0,.000,0,2,0,0,0
.486,20,9,.324,1,22,14,0,3
