Year,Team,League,G,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,OBP,SLG,AVG
2015,Seattle,AL,36,70,8,15,4,0,2,3,11,27,3,2,0.321,0.357,0.214
2014,Chicago Cubs,NL,81,224,29,63,13,1,6,28,18,70,2,4,0.337,0.429,0.281
 ,Iowa,AAA,6,21,3,3,1,0,0,0,3,6,0,0,0.28,0.19,0.143
2013,Miami,NL,128,424,49,94,18,1,18,50,41,114,15,8,0.298,0.396,0.222
2012,Miami,NL,91,288,38,90,23,1,13,36,29,84,14,8,0.374,0.535,0.313
 ,Oklahoma City,AAA,39,117,21,38,13,1,5,29,18,24,5,3,0.409,0.581,0.325
2011,Tampa Bay,AL,46,105,11,26,4,0,4,13,4,26,1,1,0.273,0.4,0.248
 ,Durham,AAA,43,168,29,51,13,1,7,34,20,42,12,2,0.378,0.518,0.304
2010,Durham,AAA,117,457,77,131,31,0,15,70,42,129,24,6,0.357,0.453,0.287
2009,Durham,AAA,123,471,71,119,28,1,15,72,51,147,23,4,0.33,0.412,0.253
2008,Tampa Bay,AL,45,76,9,15,4,0,2,7,4,27,2,0,0.247,0.329,0.197
 ,Durham,AAA,66,257,49,81,18,3,11,51,22,77,20,3,0.374,0.537,0.315
2007,Tampa Bay,AL,7,14,2,3,0,0,0,3,1,5,0,0,0.267,0.214,0.214
 ,Durham,AAA,127,482,78,149,29,2,20,73,53,151,26,11,0.386,0.502,0.309
2006,Montgomery,AA,31,108,25,36,14,3,4,27,19,29,4,4,0.442,0.63,0.333
 ,Jacksonville,AA,89,292,51,76,19,3,9,45,46,74,10,5,0.367,0.438,0.26
2005,Jacksonville,AA,53,161,23,55,10,1,6,29,17,56,8,3,0.422,0.528,0.342
 ,Vero Beach,A,71,242,47,75,15,4,9,37,28,65,16,5,0.4,0.517,0.31
2004,Ogden,R,46,155,26,51,12,0,7,36,23,38,6,1,0.428,0.542,0.329
MLB,Total,MLB,434,1201,146,306,66,3,45,140,108,353,37,23,0.319,0.427,0.255
AL,Total,AL,134,265,30,59,12,0,8,26,20,85,6,3,0.279,0.358,0.223
NL,Total,NL,300,936,116,247,54,3,37,114,88,268,31,20,0.331,0.447,0.264
AAA,Total,AAA,521,1973,328,572,133,8,73,329,209,576,110,29,0.364,0.476,0.29
AA,Total,AA,173,561,99,167,43,7,19,101,82,159,22,12,0.397,0.501,0.298
A,Total,A,71,242,47,75,15,4,9,37,28,65,16,5,0.4,0.517,0.31
R,Total,R,46,155,26,51,12,0,7,36,23,38,6,1,0.428,0.542,0.329
